# x_m,y_m,w_tr_right_m,w_tr_left_m
21.4500,0.1200,0.9000,0.9000
21.6500,0.1200,0.9000,0.9000
21.8500,0.1200,0.9118,0.9118
22.0500,0.1200,0.9000,0.9000
22.2500,0.1200,0.9208,0.9208
22.4500,0.1200,0.9500,0.9500
22.6500,0.1200,0.9462,0.9462
22.8500,0.1200,0.9052,0.9052
23.0500,0.1200,0.9000,0.9000
23.2500,0.1200,0.9000,0.9000
23.4500,0.1200,0.9000,0.9000
23.6500,0.1200,0.9118,0.9118
23.8500,0.1200,0.9500,0.9500
24.0500,0.1200,0.9500,0.9500
24.2500,0.1200,0.9118,0.9118
24.4500,0.1200,0.9000,0.9000
24.6500,0.1200,0.9052,0.9052
24.8500,0.1200,0.9000,0.9000
25.0500,0.1200,0.9000,0.9000
25.2500,0.1200,0.9000,0.9000
25.4500,0.1200,0.9000,0.9000
25.6500,0.1200,0.9000,0.9000
25.8500,0.2200,0.8500,0.8500
26.0500,0.2700,0.8000,0.8000
26.2500,0.2700,0.8000,0.8000
26.4500,0.2700,0.7882,0.7882
26.6500,0.2700,0.7516,0.7516
26.8500,0.2700,0.7500,0.7500
27.0500,0.2700,0.7639,0.7639
27.2500,0.2700,0.8000,0.8000
27.4500,0.2700,0.8000,0.8000
27.6500,0.2700,0.8000,0.8000
27.8500,0.2700,0.8000,0.8000
28.0500,0.2700,0.8000,0.8000
28.2500,0.2700,0.8000,0.8000
28.4500,0.2700,0.8000,0.8000
28.6500,0.2200,0.7500,0.7500
28.8500,0.2200,0.7500,0.7500
29.0500,0.2200,0.7500,0.7500
29.2500,0.2200,0.7500,0.7500
29.4500,0.2200,0.7500,0.7500
29.6500,0.2200,0.7500,0.7500
29.8500,0.2200,0.7562,0.7562
30.0500,0.2200,0.8000,0.8000
30.2500,0.2200,0.8000,0.8000
30.4500,0.2200,0.8000,0.8000
30.6500,0.2200,0.8000,0.8000
30.8500,0.2200,0.8000,0.8000
31.0500,0.2200,0.8000,0.8000
31.2500,0.2200,0.8000,0.8000
31.4500,0.2200,0.8000,0.8000
31.6500,0.2200,0.8000,0.8000
31.8500,0.1700,0.8000,0.8000
32.0500,0.1700,0.8000,0.8000
32.2500,0.1200,0.7500,0.7500
32.4500,0.1200,0.7500,0.7500
32.6500,0.1200,0.7500,0.7500
32.8500,0.1200,0.7500,0.7500
33.0500,0.1200,0.7500,0.7500
33.2500,0.1200,0.7500,0.7500
33.4500,0.1200,0.7500,0.7500
33.6500,0.1200,0.7500,0.7500
33.8500,0.1200,0.7500,0.7500
34.0500,0.1200,0.7746,0.7746
34.2500,0.1200,0.8000,0.8000
34.4500,0.1700,0.8500,0.8500
34.6500,0.2700,0.9500,0.9500
34.7000,0.4700,1.0680,1.0680
34.7500,0.6700,1.0420,1.0420
34.7500,0.8700,1.0048,1.0048
34.8000,1.0700,1.0500,1.0500
34.8000,1.2700,1.0500,1.0500
34.8500,1.4700,1.1000,1.1000
34.9000,1.6700,1.1500,1.1500
34.9000,1.8700,1.1500,1.1500
34.9000,2.0700,1.1500,1.1500
34.9000,2.2700,1.1500,1.1500
34.9000,2.4700,1.1500,1.1500
34.9000,2.6700,1.1500,1.1500
34.9000,2.8700,1.1385,1.1385
34.9000,3.0700,1.1043,1.1043
34.9500,3.2700,1.1500,1.1500
34.9500,3.4700,1.1500,1.1500
34.9500,3.6700,1.1500,1.1500
34.9500,3.8700,1.1500,1.1500
34.9500,4.0700,1.1500,1.1500
34.9500,4.2700,1.1500,1.1500
34.9500,4.4700,1.1500,1.1500
34.9500,4.6700,1.1500,1.1500
34.9500,4.8700,1.1173,1.1173
34.9500,5.0700,1.1000,1.1000
35.0000,5.2700,1.1043,1.1043
35.2000,5.4700,0.9000,0.9000
35.4000,5.6700,0.7262,0.7262
35.4500,5.8700,0.7278,0.7278
35.6500,6.0700,0.7278,0.7278
35.7500,6.2700,0.7406,0.7406
35.8500,6.4700,0.8015,0.8015
35.9000,6.6700,0.8500,0.8500
35.8500,6.8700,0.8015,0.8015
35.7500,7.0700,0.7406,0.7406
35.6500,7.2700,0.7406,0.7406
35.5500,7.4700,0.7326,0.7326
35.4000,7.6700,0.8131,0.8131
35.2000,7.8700,0.9808,0.9808
35.0500,8.0700,1.1500,1.1500
35.0500,8.2700,1.1500,1.1500
35.0500,8.4700,1.1500,1.1500
35.0500,8.6700,1.1500,1.1500
35.0500,8.8700,1.1500,1.1500
35.1000,9.0700,1.1500,1.1500
35.1000,9.2700,1.1500,1.1500
35.1000,9.4700,1.1500,1.1500
35.1000,9.6700,1.1500,1.1500
35.1000,9.8700,1.1500,1.1500
35.1000,10.0700,1.1500,1.1500
35.1000,10.2700,1.1500,1.1500
35.1000,10.4700,1.1500,1.1500
35.1000,10.6700,1.1500,1.1500
35.1000,10.8700,1.1500,1.1500
35.1000,11.0700,1.1500,1.1500
35.1000,11.2700,1.1500,1.1500
35.1000,11.4700,1.1500,1.1500
35.1000,11.6700,1.1097,1.1097
35.1000,11.8700,1.1000,1.1000
35.1000,12.0700,1.1000,1.1000
35.1500,12.2700,1.1500,1.1500
35.1500,12.4700,1.1500,1.1500
35.1500,12.6700,1.1500,1.1500
35.1500,12.8700,1.1500,1.1500
35.1500,13.0700,1.1269,1.1269
35.1500,13.2700,1.1011,1.1011
35.1500,13.4700,1.1000,1.1000
35.1500,13.6700,1.1000,1.1000
35.1500,13.8700,1.1000,1.1000
35.2000,14.0700,1.1269,1.1269
35.2000,14.2700,1.1173,1.1173
35.2000,14.4700,1.1000,1.1000
35.2000,14.6700,1.1173,1.1173
35.2000,14.8700,1.1097,1.1097
35.2500,15.0700,1.1000,1.1000
35.2500,15.2700,1.1011,1.1011
35.3000,15.4700,1.0602,1.0602
35.3000,15.6700,1.0500,1.0500
35.3000,15.8700,1.0680,1.0680
35.3000,16.0700,1.0545,1.0545
35.3000,16.2700,1.0500,1.0500
35.3000,16.4700,1.0500,1.0500
35.3000,16.6700,1.0500,1.0500
35.3000,16.8700,1.0680,1.0680
35.3000,17.0700,1.1000,1.1000
35.3000,17.2700,1.1000,1.1000
35.3000,17.4700,1.1011,1.1011
35.3000,17.6700,1.1269,1.1269
35.3000,17.8700,1.1500,1.1500
35.2500,18.0700,1.1500,1.1500
35.2500,18.2700,1.1500,1.1500
35.2500,18.4700,1.1500,1.1500
35.2500,18.6700,1.1500,1.1500
35.2000,18.8700,1.1011,1.1011
35.2000,19.0700,1.1269,1.1269
35.2000,19.2700,1.1593,1.1593
35.1500,19.4700,1.1521,1.1521
35.1500,19.6700,1.1758,1.1758
35.1000,19.8700,1.2000,1.2000
35.0000,20.0700,1.1798,1.1798
34.9000,20.2700,1.2000,1.2000
34.7000,20.4700,1.1879,1.1879
34.5000,20.6700,1.0500,1.0500
34.3000,20.7200,1.0012,1.0012
34.1000,20.7700,0.9808,0.9808
33.9000,20.7700,1.0000,1.0000
33.7000,20.7700,0.9612,0.9612
33.5000,20.7200,0.9000,0.9000
33.3000,20.7200,0.9118,0.9118
33.1000,20.6700,0.9157,0.9157
32.9000,20.6200,0.9562,0.9562
32.7000,20.5200,0.9624,0.9624
32.5500,20.3700,0.8987,0.8987
32.4000,20.1700,0.8232,0.8232
32.3000,19.9700,0.7882,0.7882
32.2500,19.7700,0.7746,0.7746
32.2500,19.5700,0.7562,0.7562
32.2500,19.3700,0.7516,0.7516
32.2000,19.1700,0.8000,0.8000
32.2000,18.9700,0.8000,0.8000
32.2000,18.7700,0.8000,0.8000
32.2000,18.5700,0.7562,0.7562
32.2000,18.3700,0.7562,0.7562
32.2000,18.1700,0.8000,0.8000
32.2000,17.9700,0.8000,0.8000
32.1500,17.7700,0.8500,0.8500
32.1000,17.5700,0.8624,0.8624
32.0500,17.3700,0.8841,0.8841
31.9500,17.1700,0.9512,0.9512
31.8500,16.9700,1.0317,1.0317
31.7000,16.7700,0.9208,0.9208
31.5000,16.7200,0.8232,0.8232
31.3000,16.6700,0.7500,0.7500
31.1000,16.6700,0.7500,0.7500
30.9000,16.6700,0.7639,0.7639
30.7000,16.6700,0.7882,0.7882
30.5000,16.6200,0.8000,0.8000
30.3000,16.6200,0.8000,0.8000
30.1000,16.5700,0.7500,0.7500
29.9000,16.5700,0.7500,0.7500
29.7000,16.5700,0.7500,0.7500
29.5000,16.5700,0.7500,0.7500
29.3000,16.6200,0.8000,0.8000
29.1000,16.6200,0.8000,0.8000
28.9000,16.6200,0.8000,0.8000
28.7000,16.6200,0.8000,0.8000
28.5000,16.6200,0.8000,0.8000
28.3000,16.6200,0.8000,0.8000
28.1000,16.6200,0.8000,0.8000
27.9000,16.6200,0.8000,0.8000
27.7000,16.6200,0.8000,0.8000
27.5000,16.6700,0.7516,0.7516
27.3000,16.6700,0.7776,0.7776
27.1000,16.6700,0.7149,0.7149
26.9000,16.7200,0.7500,0.7500
26.7000,16.7200,0.7746,0.7746
26.5000,16.7200,0.8015,0.8015
26.3000,16.7200,0.8360,0.8360
26.1000,16.6700,0.8000,0.8000
25.9000,16.6700,0.8000,0.8000
25.7000,16.7200,0.8500,0.8500
25.5000,16.7200,0.8500,0.8500
25.3000,16.7200,0.8500,0.8500
25.1000,16.7200,0.8500,0.8500
24.9000,16.7200,0.8500,0.8500
24.7000,16.7700,0.9000,0.9000
24.5000,16.7700,0.9000,0.9000
24.3000,16.7700,0.9000,0.9000
24.1000,16.7700,0.9000,0.9000
23.9000,16.7700,0.9000,0.9000
23.7000,16.7700,0.9000,0.9000
23.5000,16.7700,0.9000,0.9000
23.3000,16.7700,0.9000,0.9000
23.1000,16.7700,0.9000,0.9000
22.9000,16.7700,0.9000,0.9000
22.7000,16.7700,0.9000,0.9000
22.5000,16.8200,0.8500,0.8500
22.3000,16.8200,0.8500,0.8500
22.1000,16.8200,0.8500,0.8500
21.9000,16.8200,0.8500,0.8500
21.7000,16.8200,0.8500,0.8500
21.5000,16.8200,0.8500,0.8500
21.3000,16.6700,0.7017,0.7017
21.1000,16.5700,0.6464,0.6464
20.9000,16.4700,0.6301,0.6301
20.7000,16.3200,0.6606,0.6606
20.5000,16.2700,0.6571,0.6571
20.3000,16.2700,0.6500,0.6500
20.1000,16.3700,0.5685,0.5685
19.9000,16.4200,0.5765,0.5765
19.7000,16.5200,0.5825,0.5825
19.5000,16.5700,0.6000,0.6000
19.3000,16.7700,0.8000,0.8000
19.1000,16.8200,0.8500,0.8500
18.9000,16.8200,0.8514,0.8514
18.7000,16.8200,0.8841,0.8841
18.5000,16.8200,0.9000,0.9000
18.3000,16.8200,0.8720,0.8720
18.1000,16.8200,0.8500,0.8500
17.9000,16.8200,0.8514,0.8514
17.7000,16.8200,0.8841,0.8841
17.5000,16.8200,0.8514,0.8514
17.3000,16.8200,0.8500,0.8500
17.1000,16.7700,0.8555,0.8555
16.9000,16.7700,0.8987,0.8987
16.7000,16.7700,0.9000,0.9000
16.5000,16.7700,0.9000,0.9000
16.3000,16.7700,0.9000,0.9000
16.1000,16.8200,0.9118,0.9118
15.9000,16.8200,0.9500,0.9500
15.7000,16.8200,0.9349,0.9349
15.5000,16.8700,0.9118,0.9118
15.3000,16.8700,0.9000,0.9000
15.1000,16.8700,0.9000,0.9000
14.9000,16.8700,0.9000,0.9000
14.7000,16.8700,0.9000,0.9000
14.5000,16.8700,0.9000,0.9000
14.3000,16.8700,0.8841,0.8841
14.1000,16.8700,0.8514,0.8514
13.9000,16.9200,0.9000,0.9000
13.7000,16.9200,0.9052,0.9052
13.5000,16.9200,0.9000,0.9000
13.3000,16.9200,0.9000,0.9000
13.1000,16.9200,0.9000,0.9000
12.9000,16.9200,0.9000,0.9000
12.7000,16.9200,0.9000,0.9000
12.5000,16.9200,0.9000,0.9000
12.3000,16.9200,0.9000,0.9000
12.1000,16.9200,0.9000,0.9000
11.9000,16.9200,0.9000,0.9000
11.7000,16.9200,0.8720,0.8720
11.5000,16.9700,0.9000,0.9000
11.3000,16.9700,0.9000,0.9000
11.1000,16.9700,0.9000,0.9000
10.9000,16.9700,0.9000,0.9000
10.7000,16.9700,0.9000,0.9000
10.5000,16.9700,0.9000,0.9000
10.3000,16.9700,0.9000,0.9000
10.1000,16.9700,0.9000,0.9000
9.9000,16.9700,0.9000,0.9000
9.7000,16.9700,0.8624,0.8624
9.5000,17.0200,0.9000,0.9000
9.3000,17.0200,0.9000,0.9000
9.1000,17.0200,0.9000,0.9000
8.9000,17.0200,0.9000,0.9000
8.7000,17.0200,0.9000,0.9000
8.5000,17.0200,0.9000,0.9000
8.3000,17.0200,0.9000,0.9000
8.1000,17.0200,0.9000,0.9000
7.9000,17.0200,0.9013,0.9013
7.7000,17.0200,0.9323,0.9323
7.5000,17.0200,0.9500,0.9500
7.3000,17.0700,0.9000,0.9000
7.1000,17.0700,0.9000,0.9000
6.9000,17.0700,0.9000,0.9000
6.7000,17.0700,0.9000,0.9000
6.5000,17.0700,0.9000,0.9000
6.3000,17.0700,0.9000,0.9000
6.1000,17.0700,0.9000,0.9000
5.9000,17.0700,0.8720,0.8720
5.7000,17.0700,0.8500,0.8500
5.5000,17.1200,0.9000,0.9000
5.3000,17.1200,0.9000,0.9000
5.1000,17.1200,0.9000,0.9000
4.9000,17.1200,0.9000,0.9000
4.7000,17.1200,0.9000,0.9000
4.5000,17.1200,0.9000,0.9000
4.3000,17.1200,0.8624,0.8624
4.1000,17.1700,0.9000,0.9000
3.9000,17.1700,0.9000,0.9000
3.7000,17.1700,0.9000,0.9000
3.5000,17.1700,0.9013,0.9013
3.3000,17.1700,0.9323,0.9323
3.1000,17.1700,0.9500,0.9500
2.9000,17.2200,0.9500,0.9500
2.7000,17.2200,0.9500,0.9500
2.5000,17.2200,0.9323,0.9323
2.3000,17.2200,0.9013,0.9013
2.1000,17.2200,0.9000,0.9000
1.9000,17.2200,0.9000,0.9000
1.7000,17.2200,0.8987,0.8987
1.5000,17.2200,0.8555,0.8555
1.3000,17.2200,0.8500,0.8500
1.1000,17.2200,0.8500,0.8500
0.9000,17.2700,0.9000,0.9000
0.7000,17.2700,0.9000,0.9000
0.5000,17.2700,0.9000,0.9000
0.3000,17.2700,0.9000,0.9000
0.1000,17.2700,0.9000,0.9000
-0.1000,17.2700,0.9000,0.9000
-0.3000,17.2700,0.9000,0.9000
