-1.5875773,8.9665774,6.2320581
-1.6218781,8.4685041,6.3555692
-1.6635203,7.9708638,6.3529751
-1.7102936,7.4736463,6.1063493
-1.7607910,6.9756073,5.8504874
-1.8131642,6.4804890,5.5895311
-1.8665456,5.9813495,5.3096013
-1.9181888,5.4840009,5.0205275
-1.9647269,4.9895188,4.7196776
-2.0018242,4.4870747,4.4022651
-2.0204481,3.9877184,4.0815992
-2.0105601,3.4926296,3.7625483
-1.9601113,2.9957493,3.4721475
-1.8599178,2.5058172,3.2636832
-1.7090744,2.0347340,3.0546103
-1.5007476,1.5862344,2.7645253
-1.2137261,1.1793746,2.7122446
-0.8452976,0.8424404,2.8922630
-0.4168395,0.5816732,3.1500776
0.0386310,0.3813875,3.4276658
0.5100871,0.2218404,3.6811305
0.9944927,0.0935035,3.9256419
1.4842960,-0.0077682,4.1681020
1.9761363,-0.0882708,4.4057661
2.4727700,-0.1532103,4.6392739
2.9694441,-0.2053475,4.8646753
3.4679380,-0.2474855,5.0822555
3.9658531,-0.2816595,5.2953743
4.4648939,-0.3097193,5.5007351
4.9637079,-0.3323663,5.7011890
5.4616808,-0.3501736,5.8977450
5.9614750,-0.3637626,6.0866782
6.4606065,-0.3736019,6.2715435
6.9590376,-0.3801921,6.4526302
7.4588675,-0.3839644,6.6268022
7.9580964,-0.3852455,6.7972592
8.4568061,-0.3843453,6.9641939
8.9563830,-0.3815197,7.1252537
9.4556380,-0.3769959,7.2826380
9.9545249,-0.3709707,7.4367982
10.4538104,-0.3636017,7.5861570
10.9530416,-0.3550382,7.7316919
11.4520272,-0.3454113,7.8742888
11.9511137,-0.3348281,8.0131214
12.4502677,-0.3233908,8.1479053
12.9492811,-0.3111979,8.2800122
13.4483296,-0.2983331,8.4092774
13.9473448,-0.2848821,8.5342437
14.4463175,-0.2709271,8.6567627
14.9454361,-0.2565455,8.7768621
15.4443362,-0.2418325,8.8931723
15.9432007,-0.2268699,9.0068738
16.4423484,-0.2117440,9.1183639
16.9413230,-0.1965656,9.2267562
17.4400132,-0.1814389,9.3322808
17.9391638,-0.1665574,9.4357677
18.4383631,-0.1521169,9.5366322
18.9370282,-0.1381491,9.6345291
19.4363690,-0.1245225,9.7307050
19.9356645,-0.1111879,9.8248078
20.4345248,-0.0981963,9.9155291
20.9338156,-0.0856377,9.9460420
21.4330401,-0.0736779,9.8701170
21.9321391,-0.0624979,9.6472479
