# e7_fifth_v3 raceline (centerline path; velocity copied from e7_fifth_v3_centerline_with_vel.csv)
# generated for mppi_example / mppi_bringup
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m
4.430776;-1.700000;4.570000;-1.815775;-1.224893;3.129979;-0.130507;0.726200;0.726200
4.636932;-1.750000;4.370000;-1.815775;0.000000;3.117401;0.361407;0.740600;0.740600
4.843087;-1.800000;4.170000;-1.570796;1.188321;3.177779;0.369405;0.700000;0.700000
5.043087;-1.800000;3.970000;-1.570796;0.000000;3.164615;2.327361;0.700000;0.700000
5.243087;-1.800000;3.770000;-1.570796;0.000000;3.471952;-0.191886;0.701700;0.701700
5.443087;-1.800000;3.570000;-1.570796;0.000000;3.142508;-2.686632;0.700000;0.700000
5.643087;-1.800000;3.370000;-1.815775;-1.224893;3.129979;-0.193484;0.700000;0.700000
5.849242;-1.850000;3.170000;-1.570796;1.188321;3.117401;0.033442;0.714900;0.714900
6.049242;-1.850000;2.970000;-1.570796;0.000000;3.134336;2.563871;0.750000;0.750000
6.249242;-1.850000;2.770000;-1.570796;0.000000;3.444599;5.103216;0.750000;0.750000
6.449242;-1.850000;2.570000;-1.570796;0.000000;3.726941;-3.926863;0.750000;0.750000
6.649242;-1.850000;2.370000;-1.570796;0.000000;3.023142;-6.294038;0.750000;0.750000
6.849242;-1.850000;2.170000;-1.815775;-1.224893;2.894160;-1.479049;0.763900;0.763900
7.055398;-1.900000;1.970000;-1.570796;1.188321;2.815578;-1.609652;0.788200;0.788200
7.255398;-1.900000;1.770000;-1.325818;1.224893;2.661963;-2.147153;0.801500;0.801500
7.461553;-1.850000;1.570000;-1.570796;-1.188321;2.487971;-2.894622;0.884100;0.884100
7.661553;-1.850000;1.370000;-1.325818;1.224893;2.189423;-1.830617;0.905200;0.905200
7.867708;-1.800000;1.170000;-1.325818;0.000000;2.148377;-0.259867;0.950000;0.950000
8.073863;-1.750000;0.970000;-0.785398;2.621420;2.139550;-0.077405;1.000000;1.000000
8.356706;-1.550000;0.770000;-0.244979;1.910671;2.130686;1.674417;1.000000;1.000000
8.562861;-1.350000;0.720000;-0.244979;0.000000;2.523833;4.806276;0.950000;0.950000
8.769017;-1.150000;0.670000;-0.244979;-0.000000;2.915872;4.508064;0.900000;0.900000
8.975172;-0.950000;0.620000;0.000000;1.188321;3.161283;1.764006;0.862400;0.862400
9.175172;-0.750000;0.620000;0.000000;0.000000;3.142508;-0.245933;0.900000;0.900000
9.375172;-0.550000;0.620000;-0.244979;-1.224893;3.129979;-0.193484;0.900000;0.900000
9.581327;-0.350000;0.570000;0.000000;1.188321;3.117401;0.033442;0.862400;0.862400
9.781327;-0.150000;0.570000;0.000000;0.000000;3.134336;0.098559;0.900000;0.900000
