s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,w_tr_right_m,w_tr_left_m
13.448021,3.450000,0.120000,0.000000,0.000000,3.142508,-0.196459,0.900000,0.900000
13.648021,3.650000,0.120000,-0.244979,-1.224893,3.129979,-0.196459,0.900000,0.900000
13.854176,3.850000,0.070000,0.000000,1.188321,3.117401,0.256789,0.900000,0.900000
14.054176,4.050000,0.070000,0.000000,0.000000,3.134336,5.102993,0.900000,0.900000
14.254176,4.250000,0.070000,0.000000,0.000000,3.444599,5.062060,0.900000,0.900000
14.454176,4.450000,0.070000,0.000000,0.000000,3.726941,5.021455,0.901300,0.901300
14.654176,4.650000,0.070000,0.000000,0.000000,3.987313,4.981176,0.901300,0.901300
14.854176,4.850000,0.070000,0.000000,0.000000,4.229792,4.941220,0.905200,0.905200
15.054176,5.050000,0.070000,0.000000,0.000000,4.457312,4.901585,0.946200,0.946200
15.254176,5.250000,0.070000,0.000000,0.000000,4.672072,4.862267,0.950000,0.950000
15.454176,5.450000,0.070000,0.000000,0.000000,4.875774,4.823265,0.920800,0.920800
15.654176,5.650000,0.070000,0.000000,0.000000,5.069761,4.784576,0.900000,0.900000
15.854176,5.850000,0.070000,0.000000,0.000000,5.255122,4.746197,0.900000,0.900000
16.054176,6.050000,0.070000,0.000000,0.000000,5.432751,4.708126,0.900000,0.900000
16.254176,6.250000,0.070000,0.000000,0.000000,5.603395,4.670360,0.900000,0.900000
16.454176,6.450000,0.070000,0.000000,0.000000,5.767684,4.632897,0.900000,0.900000
16.654176,6.650000,0.070000,0.000000,0.000000,5.926157,4.595735,0.900000,0.900000
16.854176,6.850000,0.070000,0.000000,0.000000,6.079279,4.558871,0.900000,0.900000
17.054176,7.050000,0.070000,0.000000,0.000000,6.227454,4.522303,0.900000,0.900000
17.254176,7.250000,0.070000,0.000000,0.000000,6.371036,4.486027,0.900000,0.900000
17.454176,7.450000,0.070000,0.000000,0.000000,6.510339,4.450043,0.905200,0.905200
17.654176,7.650000,0.070000,0.000000,0.000000,6.645640,4.414348,0.901300,0.901300
17.854176,7.850000,0.070000,0.000000,0.000000,6.777187,4.378938,0.932300,0.932300
18.054176,8.050000,0.070000,0.000000,0.000000,6.905204,4.343813,0.950000,0.950000
18.254176,8.250000,0.070000,0.000000,0.000000,7.029891,4.308970,0.946200,0.946200
18.454176,8.450000,0.070000,0.000000,0.000000,7.151430,4.274406,0.905200,0.905200
18.654176,8.650000,0.070000,0.000000,0.000000,7.269988,4.240119,0.900000,0.900000
18.854176,8.850000,0.070000,0.000000,0.000000,7.385714,4.206108,0.900000,0.900000
19.054176,9.050000,0.070000,0.000000,0.000000,7.498747,4.172369,0.900000,0.900000
19.254176,9.250000,0.070000,0.000000,0.000000,7.609215,4.138901,0.900000,0.900000
19.454176,9.450000,0.070000,0.000000,0.000000,7.717235,4.105701,0.900000,0.900000
19.654176,9.650000,0.070000,0.000000,0.000000,7.822915,4.072767,0.900000,0.900000
19.854176,9.850000,0.070000,0.000000,0.000000,7.926355,4.040098,0.900000,0.900000
20.054176,10.050000,0.070000,0.000000,0.000000,8.027649,4.007691,0.900000,0.900000
20.254176,10.250000,0.070000,0.000000,0.000000,8.126883,3.975544,0.905200,0.905200
20.454176,10.450000,0.070000,0.000000,0.000000,8.224138,3.943654,0.900000,0.900000
20.654176,10.650000,0.070000,0.000000,0.000000,8.319489,3.912021,0.905200,0.905200
20.854176,10.850000,0.070000,0.000000,0.000000,8.413008,-12.566906,0.946200,0.946200
21.054176,11.050000,0.070000,0.000000,0.000000,8.108757,-13.212572,0.950000,0.950000
21.254176,11.250000,0.070000,0.000000,0.000000,7.776048,-13.107432,0.911800,0.911800
21.454176,11.450000,0.070000,0.000000,0.000000,7.431281,-13.003129,0.900000,0.900000
21.654176,11.650000,0.070000,0.000000,0.000000,7.072672,-12.899656,0.900000,0.900000
21.854176,11.850000,0.070000,0.000000,0.000000,6.697972,-12.797006,0.900000,0.900000
