s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2;w_tr_right_m;w_tr_left_m
6.881619;18.046600;-0.588800;-0.016924;-0.000336;8.093296;3.986468;0.850000;0.850000
6.952529;18.117500;-0.590000;-0.018334;-0.019884;8.128198;3.975115;0.850000;0.850000
7.023441;18.188400;-0.591300;-0.018308;0.000364;8.162803;3.963810;0.851500;0.851500
7.094453;18.259400;-0.592600;-0.018334;-0.000364;8.197165;3.952536;0.855900;0.855900
7.165365;18.330300;-0.593900;-0.019744;-0.019883;8.231335;3.941279;0.873200;0.873200
7.236279;18.401200;-0.595300;-0.019716;0.000392;8.265219;3.930070;0.886000;0.886000
7.307292;18.472200;-0.596700;-0.018334;0.019463;8.298869;3.918892;0.900000;0.900000
7.378204;18.543100;-0.598000;-0.019744;-0.019883;8.332336;3.907731;0.900000;0.900000
7.449118;18.614000;-0.599400;-0.019716;0.000392;8.365526;3.896617;0.900000;0.900000
7.520132;18.685000;-0.600800;-0.019744;-0.000391;8.398493;3.885534;0.900000;0.900000
7.591046;18.755900;-0.602200;-0.019744;-0.000000;8.431283;3.874468;0.900000;0.900000
7.661960;18.826800;-0.603600;-0.019716;0.000392;8.463808;3.863448;0.900000;0.900000
7.732973;18.897800;-0.605000;-0.018334;0.019463;8.496116;3.852460;0.900000;0.900000
7.803885;18.968700;-0.606300;-0.019744;-0.019883;8.528255;3.841488;0.901400;0.901400
7.874799;19.039600;-0.607700;-0.019744;0.000000;8.560138;3.830562;0.912400;0.912400
7.945713;19.110500;-0.609100;-0.019716;0.000392;8.591812;3.819668;0.922000;0.922000
8.016727;19.181500;-0.610500;-0.019744;-0.000391;8.623281;3.808804;0.948700;0.948700
8.087641;19.252400;-0.611900;-0.019744;-0.000000;8.654590;3.797956;0.950000;0.950000
8.158554;19.323300;-0.613300;-0.019716;0.000392;8.685654;3.787154;0.950000;0.950000
8.229568;19.394300;-0.614700;-0.019744;-0.000391;8.716519;3.776383;0.950000;0.950000
8.300482;19.465200;-0.616100;-0.019744;-0.000000;8.747231;3.765627;0.950000;0.950000
8.371396;19.536100;-0.617500;-0.018308;0.020246;8.777706;3.754917;0.950000;0.950000
8.442408;19.607100;-0.618800;-0.019744;-0.020218;8.807989;3.744238;0.950000;0.950000
8.513322;19.678000;-0.620200;-0.019744;-0.000000;8.838125;3.733574;0.950000;0.950000
8.584235;19.748900;-0.621600;-0.019716;0.000392;8.868031;3.722955;0.950000;0.950000
8.655249;19.819900;-0.623000;-0.019744;-0.000391;8.897752;3.712367;0.950000;0.950000
8.726163;19.890800;-0.624400;-0.019744;-0.000000;8.927331;3.701793;0.950000;0.950000
8.797077;19.961700;-0.625800;-0.019744;0.000000;8.956688;3.691265;0.900000;0.900000
8.867991;20.032600;-0.627200;-0.019716;0.000392;8.985866;3.680766;0.900000;0.900000
8.939004;20.103600;-0.628600;-0.018334;0.019463;9.014867;3.670298;0.900000;0.900000
9.009916;20.174500;-0.629900;-0.019744;-0.019883;9.043733;3.659844;0.900000;0.900000
9.080830;20.245400;-0.631300;-0.019716;0.000392;9.072384;3.649435;0.900000;0.900000
9.151844;20.316400;-0.632700;-0.019744;-0.000391;9.100865;3.639056;0.900000;0.900000
9.222758;20.387300;-0.634100;-0.019744;0.000000;9.129217;3.628691;0.900000;0.900000
9.293672;20.458200;-0.635500;-0.019716;0.000392;9.157360;3.618371;0.900000;0.900000
9.364685;20.529200;-0.636900;-0.019744;-0.000391;9.185338;3.608080;0.900000;0.900000
9.435599;20.600100;-0.638300;-0.019744;-0.000000;9.213190;3.597803;0.900000;0.900000
9.506513;20.671000;-0.639700;-0.019744;0.000000;9.240841;3.587571;0.901400;0.901400
9.577427;20.741900;-0.641100;-0.018308;0.020246;9.268331;3.577367;0.912400;0.912400
9.648439;20.812900;-0.642400;-0.019744;-0.020218;9.295662;3.567193;0.922000;0.922000
9.719353;20.883800;-0.643800;-0.019744;0.000000;9.322873;3.557033;0.948700;0.948700
9.790266;20.954700;-0.645200;-0.019716;0.000392;9.349890;3.546916;0.950000;0.950000
9.861280;21.025700;-0.646600;-0.019744;-0.000391;9.376753;3.536828;0.950000;0.950000
9.932194;21.096600;-0.648000;-0.019744;0.000000;9.403500;3.526755;0.950000;0.950000
10.003108;21.167500;-0.649400;-0.019716;0.000392;9.430059;3.516724;0.950000;0.950000
10.074122;21.238500;-0.650800;-0.019744;-0.000391;9.456468;3.506722;0.950000;0.950000
10.145035;21.309400;-0.652200;-0.019744;-0.000000;9.482765;3.496735;0.950000;0.950000
10.215949;21.380300;-0.653600;-0.018308;0.020246;9.508878;3.486789;0.950000;0.950000
10.286961;21.451300;-0.654900;-0.019744;-0.020218;9.534846;3.476873;0.950000;0.950000
10.357875;21.522200;-0.656300;-0.019744;-0.000000;9.560705;3.466970;0.950000;0.950000
10.428789;21.593100;-0.657700;-0.019744;-0.000000;9.586386;3.457110;0.950000;0.950000
10.499703;21.664000;-0.659100;-0.019716;0.000392;9.611925;3.447277;0.950000;0.950000
10.570716;21.735000;-0.660500;-0.019744;-0.000391;9.637325;3.437473;0.951300;0.951300
10.641630;21.805900;-0.661900;-0.019744;0.000000;9.662621;3.427682;0.955200;0.955200
10.712544;21.876800;-0.663300;-0.019716;0.000392;9.687744;-10.776520;0.970800;0.970800
10.783558;21.947800;-0.664700;-0.019744;-0.000391;9.608537;-11.998600;0.982300;0.982300
10.854472;22.018700;-0.666100;-0.018334;0.019882;9.519446;-12.015195;0.996200;0.996200
10.925384;22.089600;-0.667400;-0.019716;-0.019491;9.429515;-12.067483;1.000000;1.000000
10.996397;22.160600;-0.668800;-0.019744;-0.000391;9.338324;-13.690455;1.000000;1.000000
11.067311;22.231500;-0.670200;-0.019744;0.000000;9.233628;-13.670875;1.000000;1.000000
11.138225;22.302400;-0.671600;-0.019744;-0.000000;9.128032;-13.600286;1.000000;1.000000
11.209139;22.373300;-0.673000;-0.019716;0.000392;9.021756;-13.581578;1.000000;1.000000
11.280153;22.444300;-0.674400;-0.019744;-0.000391;8.914361;-13.535930;0.982300;0.982300
11.351067;22.515200;-0.675800;-0.019744;-0.000000;8.805871;-13.487005;0.950000;0.950000
11.421980;22.586100;-0.677200;-0.019716;0.000392;8.696581;-12.060645;0.950000;0.950000
11.492994;22.657100;-0.678600;-0.018334;0.019463;8.597674;-11.995093;0.950000;0.950000
11.563906;22.728000;-0.679900;-0.019744;-0.019883;8.498021;-12.012683;0.950000;0.950000
11.634820;22.798900;-0.681300;-0.019716;0.000392;8.397183;-13.367962;0.950000;0.950000
11.705834;22.869900;-0.682700;-0.019744;-0.000391;8.283521;-13.319290;0.950000;0.950000
11.776748;22.940800;-0.684100;-0.019744;0.000000;8.168538;-13.300241;0.950000;0.950000
11.847661;23.011700;-0.685500;-0.019744;-0.000000;8.052247;-13.237908;0.950000;0.950000
11.918575;23.082600;-0.686900;-0.019716;0.000392;7.934808;-13.219690;0.950000;0.950000
11.989589;23.153600;-0.688300;-0.019744;-0.000391;7.815770;-13.168918;0.950000;0.950000
12.060503;23.224500;-0.689700;-0.019744;-0.000000;7.695188;-11.988910;0.950000;0.950000
12.131417;23.295400;-0.691100;-0.018308;0.020246;7.583901;-12.005492;0.950000;0.950000
12.202428;23.366400;-0.692400;-0.019744;-0.020218;7.470799;-11.974212;0.950000;0.950000
12.273342;23.437300;-0.693800;-0.019744;-0.000000;7.356101;-13.027596;0.950000;0.950000
12.344256;23.508200;-0.695200;-0.019716;0.000392;7.229422;-13.009663;0.950000;0.950000
12.415270;23.579200;-0.696600;-0.019744;-0.000391;7.100663;-12.955918;0.950000;0.950000
12.486184;23.650100;-0.698000;-0.019744;-0.000000;6.969886;-12.919114;0.950000;0.950000
12.557098;23.721000;-0.699400;-0.019716;0.000392;6.837180;-12.901327;0.950000;0.950000
12.628111;23.792000;-0.700800;-0.019744;-0.000391;6.702034;-11.990494;0.950000;0.950000
