# x_m,y_m,width_right,width_left
-2.2405,-10.3428,0.9023,1.0166
-2.2460,-10.3516,0.8995,1.0143
-2.2514,-10.3603,0.8967,1.0119
-2.2568,-10.3691,0.8941,1.0095
-2.2622,-10.3780,0.8915,1.0071
-2.2674,-10.3868,0.8890,1.0045
-2.2727,-10.3957,0.8866,1.0019
-2.2779,-10.4047,0.8842,0.9993
-2.2830,-10.4136,0.8820,0.9965
-2.2880,-10.4227,0.8799,0.9937
-2.2929,-10.4317,0.8779,0.9908
-2.2978,-10.4408,0.8760,0.9878
-2.3026,-10.4500,0.8742,0.9848
-2.3073,-10.4592,0.8726,0.9815
-2.3118,-10.4684,0.8710,0.9782
-2.3163,-10.4778,0.8696,0.9748
-2.3206,-10.4871,0.8684,0.9713
-2.3247,-10.4966,0.8674,0.9677
-2.3287,-10.5061,0.8665,0.9640
-2.3326,-10.5157,0.8658,0.9603
-2.3363,-10.5253,0.8653,0.9565
-2.3398,-10.5350,0.8649,0.9526
-2.3431,-10.5448,0.8648,0.9487
-2.3463,-10.5546,0.8647,0.9447
-2.3494,-10.5645,0.8648,0.9407
-2.3524,-10.5744,0.8649,0.9367
-2.3553,-10.5843,0.8651,0.9328
-2.3583,-10.5941,0.8652,0.9290
-2.3613,-10.6040,0.8652,0.9253
-2.3644,-10.6139,0.8652,0.9216
-2.3675,-10.6237,0.8650,0.9182
-2.3708,-10.6335,0.8646,0.9150
-2.3742,-10.6433,0.8641,0.9120
-2.3777,-10.6530,0.8634,0.9093
-2.3813,-10.6626,0.8625,0.9068
-2.3850,-10.6723,0.8614,0.9045
-2.3888,-10.6819,0.8602,0.9023
-2.3927,-10.6914,0.8589,0.9003
-2.3967,-10.7010,0.8575,0.8984
-2.4007,-10.7105,0.8559,0.8965
-2.4048,-10.7200,0.8543,0.8947
-2.4088,-10.7294,0.8526,0.8929
-2.4130,-10.7389,0.8508,0.8911
-2.4171,-10.7484,0.8489,0.8894
-2.4212,-10.7578,0.8470,0.8877
-2.4254,-10.7673,0.8451,0.8859
-2.4295,-10.7768,0.8431,0.8842
-2.4336,-10.7863,0.8410,0.8824
-2.4376,-10.7957,0.8389,0.8807
-2.4416,-10.8053,0.8368,0.8789
-2.4456,-10.8148,0.8346,0.8770
-2.4495,-10.8244,0.8324,0.8752
-2.4533,-10.8339,0.8303,0.8733
-2.4571,-10.8436,0.8281,0.8714
-2.4607,-10.8532,0.8260,0.8694
-2.4643,-10.8629,0.8240,0.8675
-2.4678,-10.8726,0.8220,0.8655
-2.4712,-10.8823,0.8202,0.8635
-2.4746,-10.8921,0.8184,0.8615
-2.4779,-10.9019,0.8166,0.8595
-2.4812,-10.9117,0.8149,0.8576
-2.4844,-10.9215,0.8132,0.8557
-2.4876,-10.9313,0.8116,0.8538
-2.4908,-10.9411,0.8100,0.8520
-2.4940,-10.9509,0.8085,0.8502
-2.4972,-10.9608,0.8070,0.8485
-2.5003,-10.9706,0.8055,0.8467
-2.5035,-10.9804,0.8040,0.8450
-2.5066,-10.9903,0.8026,0.8433
-2.5097,-11.0001,0.8012,0.8416
-2.5128,-11.0100,0.7998,0.8399
-2.5159,-11.0198,0.7985,0.8382
-2.5189,-11.0297,0.7971,0.8365
-2.5219,-11.0396,0.7958,0.8347
-2.5249,-11.0494,0.7945,0.8328
-2.5278,-11.0593,0.7932,0.8310
-2.5307,-11.0693,0.7918,0.8291
-2.5336,-11.0792,0.7903,0.8271
-2.5364,-11.0891,0.7887,0.8251
-2.5391,-11.0991,0.7870,0.8231
-2.5418,-11.1090,0.7850,0.8210
-2.5445,-11.1190,0.7830,0.8189
-2.5471,-11.1290,0.7809,0.8168
-2.5497,-11.1390,0.7787,0.8146
-2.5522,-11.1490,0.7765,0.8123
-2.5547,-11.1590,0.7742,0.8100
-2.5572,-11.1691,0.7720,0.8079
-2.5595,-11.1791,0.7698,0.8057
-2.5619,-11.1892,0.7676,0.8037
-2.5641,-11.1992,0.7655,0.8017
-2.5662,-11.2093,0.7634,0.7997
-2.5683,-11.2195,0.7614,0.7977
-2.5702,-11.2296,0.7596,0.7957
-2.5719,-11.2398,0.7579,0.7937
-2.5734,-11.2500,0.7564,0.7917
-2.5748,-11.2602,0.7551,0.7895
-2.5759,-11.2705,0.7540,0.7873
-2.5769,-11.2808,0.7531,0.7851
-2.5777,-11.2911,0.7523,0.7828
-2.5783,-11.3014,0.7516,0.7804
-2.5788,-11.3117,0.7511,0.7781
-2.5793,-11.3220,0.7506,0.7757
-2.5796,-11.3323,0.7502,0.7734
-2.5800,-11.3426,0.7499,0.7712
-2.5803,-11.3530,0.7495,0.7691
-2.5806,-11.3633,0.7491,0.7672
-2.5810,-11.3736,0.7487,0.7655
-2.5814,-11.3839,0.7483,0.7638
-2.5818,-11.3942,0.7477,0.7624
-2.5823,-11.4045,0.7471,0.7612
-2.5828,-11.4149,0.7465,0.7600
-2.5833,-11.4252,0.7457,0.7589
-2.5839,-11.4355,0.7449,0.7578
-2.5846,-11.4458,0.7440,0.7567
-2.5852,-11.4561,0.7430,0.7557
-2.5859,-11.4664,0.7419,0.7547
-2.5866,-11.4767,0.7406,0.7537
-2.5873,-11.4870,0.7392,0.7527
-2.5881,-11.4973,0.7377,0.7518
-2.5888,-11.5076,0.7359,0.7508
-2.5896,-11.5179,0.7339,0.7499
-2.5903,-11.5282,0.7318,0.7489
-2.5911,-11.5385,0.7296,0.7480
-2.5918,-11.5488,0.7272,0.7470
-2.5925,-11.5591,0.7248,0.7461
-2.5932,-11.5694,0.7224,0.7451
-2.5939,-11.5797,0.7200,0.7441
-2.5945,-11.5900,0.7177,0.7430
-2.5951,-11.6003,0.7153,0.7419
-2.5957,-11.6106,0.7130,0.7408
-2.5962,-11.6209,0.7108,0.7396
-2.5966,-11.6312,0.7086,0.7383
-2.5970,-11.6415,0.7066,0.7370
-2.5972,-11.6519,0.7046,0.7356
-2.5974,-11.6622,0.7028,0.7340
-2.5974,-11.6725,0.7011,0.7324
-2.5973,-11.6828,0.6996,0.7306
-2.5970,-11.6932,0.6982,0.7286
-2.5966,-11.7035,0.6970,0.7265
-2.5960,-11.7138,0.6961,0.7244
-2.5951,-11.7241,0.6953,0.7222
-2.5941,-11.7343,0.6948,0.7199
