-2.4691522,-6.5896640,2.0071406
-2.5858544,-6.4299972,2.0287976
-2.6920858,-6.2620694,2.0478149
-2.7785349,-6.0837648,2.0685048
-2.8388345,-5.8959512,2.0964486
-2.8719511,-5.6988636,2.1269326
-2.8779248,-5.4980220,2.1589385
-2.8601792,-5.3016675,2.2159736
-2.8222530,-5.1059156,2.2859576
-2.7678550,-4.9141797,2.3738271
-2.7004647,-4.7274564,2.4796329
-2.6220639,-4.5437191,2.5919922
-2.5359230,-4.3648318,2.7192765
-2.4432157,-4.1883559,2.8503263
-2.3462429,-4.0146139,2.9879872
-2.2462290,-3.8420970,3.1320204
-2.1453406,-3.6712079,3.2797606
-2.0436770,-3.4989205,3.4247234
-1.9442777,-3.3271587,3.5615812
-1.8473354,-3.1530633,3.6734633
-1.7545478,-2.9767682,3.6499011
-1.6679103,-2.7991623,3.5461913
-1.5872042,-2.6165354,3.4632007
-1.5149419,-2.4312807,3.3899097
-1.4521098,-2.2433519,3.3254845
-1.3991515,-2.0514937,3.2730538
-1.3571711,-1.8571051,3.2307714
-1.3267827,-1.6608881,3.2063526
-1.3082594,-1.4629943,3.2086096
-1.3016661,-1.2644092,3.2222170
-1.3067932,-1.0659230,3.2400778
-1.3233847,-0.8676571,3.2607067
-1.3510538,-0.6707490,3.2818066
-1.3892218,-0.4763196,3.2929225
-1.4378562,-0.2833371,3.3091836
-1.4964257,-0.0928538,3.3405550
-1.5633694,0.0931743,3.4455530
-1.6373719,0.2787589,3.5678210
-1.7146831,0.4616537,3.6960304
-1.7942804,0.6439268,3.8220789
-1.8753329,0.8265809,3.9466875
-1.9560399,1.0077117,3.9883043
-2.0368083,1.1903322,3.9998409
-2.1158711,1.3725766,3.8797721
-2.1930178,1.5563346,3.7622107
-2.2669808,1.7410504,3.6494287
-2.3370884,1.9276064,3.5395554
-2.4020949,2.1153734,3.4320474
-2.4615073,2.3060498,3.3264834
-2.5134534,2.4969791,3.2214771
-2.5578483,2.6924208,3.1160024
-2.5924158,2.8881255,3.0091877
-2.6161539,3.0853633,2.8998090
-2.6275993,3.2854199,2.7908273
-2.6250631,3.4832571,2.6832506
-2.6072919,3.6807432,2.5797834
-2.5726201,3.8777777,2.4859037
-2.5203553,4.0683258,2.4052227
-2.4498581,4.2527199,2.3401782
-2.3612235,4.4303833,2.2814668
-2.2545643,4.5984351,2.2119109
-2.1299431,4.7534577,2.1317869
-1.9875558,4.8921036,2.0780270
-1.8280087,5.0112085,2.0306686
-1.6534488,5.1071870,1.9922551
-1.4670055,5.1768930,1.9701008
-1.2725624,5.2180596,1.9729717
-1.0743597,5.2300613,2.0004412
-0.8760307,5.2144617,2.0204763
-0.6808659,5.1756168,2.0370556
-0.4925808,5.1210076,2.0540923
-0.3093802,5.0502888,2.0745948
-0.1340490,4.9573895,2.0998152
0.0280169,4.8410746,2.1267791
0.1735510,4.7031130,2.1572631
0.2998963,4.5485995,2.1969856
0.4072554,4.3827085,2.2620987
0.4991925,4.2053304,2.3385888
0.5758283,4.0214855,2.4286903
0.6389259,3.8333661,2.5288263
0.6907526,3.6401573,2.6331732
0.7318946,3.4462253,2.7461345
0.7643762,3.2495168,2.8602262
0.7891342,3.0520847,2.9760979
0.8073831,2.8537572,3.0950973
0.8201002,2.6552594,3.2157366
0.8282534,2.4560207,3.3406182
0.8326355,2.2573228,3.4665465
0.8340367,2.0578991,3.5953442
0.8331021,1.8588891,3.7250641
0.8304965,1.6606029,3.8557555
0.8268503,1.4611979,3.9856985
0.8227218,1.2629376,4.1145285
0.8184840,1.0639811,4.2401229
0.8144359,0.8650927,4.3623241
0.8108049,0.6666261,4.4822344
0.8077371,0.4675754,4.5978606
0.8053328,0.2687338,4.7109408
0.8036174,0.0700439,4.8219226
0.8025658,-0.1289575,4.9290890
0.8021138,-0.3278117,5.0342450
0.8021644,-0.5266306,5.1375890
0.8026022,-0.7255241,5.2376252
0.8033049,-0.9243267,5.3359111
0.8041576,-1.1233103,5.4318460
0.8050601,-1.3219426,5.4927212
0.8059554,-1.5206763,5.4614840
0.8068292,-1.7199833,5.3404054
0.8077424,-1.9180136,5.2212857
0.8089875,-2.1167780,5.1034670
0.8105396,-2.3161118,4.9874203
0.8119454,-2.5143437,4.8737504
0.8128106,-2.7142232,4.7609351
0.8127416,-2.9126534,4.6498087
0.8113609,-3.1119040,4.5391805
0.8082652,-3.3109186,4.4291975
0.8030104,-3.5099014,4.3194783
0.7951251,-3.7087405,4.2098708
0.7840858,-3.9076427,4.0999144
0.7693805,-4.1059708,3.9897142
0.7503721,-4.3042669,3.8786913
0.7264570,-4.5019848,3.7668363
0.6970729,-4.6982702,3.6541384
0.6611676,-4.8948524,3.5396277
0.6185761,-5.0883629,3.4242140
0.5678948,-5.2813185,3.3065330
0.5087083,-5.4716267,3.1868688
0.4408898,-5.6572335,3.0654923
0.3624873,-5.8408171,2.9403168
0.2738977,-6.0187480,2.8146624
0.1743198,-6.1899986,2.6914837
0.0625259,-6.3542103,2.5756620
-0.0615627,-6.5095106,2.4758826
-0.1981773,-6.6536614,2.3913966
-0.3477929,-6.7845584,2.3217618
-0.5099958,-6.8995685,2.2678884
-0.6832454,-6.9959377,2.2019388
-0.8669193,-7.0716359,2.1299606
-1.0595627,-7.1238357,2.0540454
-1.2561574,-7.1495158,2.0113544
-1.4556489,-7.1481991,1.9811308
-1.6522861,-7.1193610,1.9628864
-1.8436755,-7.0626077,1.9677853
-2.0253399,-6.9783947,1.9678528
-2.1915343,-6.8691744,1.9682079
-2.3387252,-6.7388697,1.9772664
-2.4691522,-6.5896640,2.0071406
