# x_m,y_m,w_tr_right_m,w_tr_left_m
11.1378,1.7247,1.0704,1.0704
11.2144,1.6577,1.0453,1.0453
11.2888,1.5862,1.0270,1.0270
11.3608,1.5108,1.0045,1.0045
11.4304,1.4318,0.9922,0.9922
11.4974,1.3499,0.9899,0.9899
11.5616,1.2656,0.9899,0.9899
11.6230,1.1795,0.9899,0.9899
11.6814,1.0919,0.9766,0.9766
11.7367,1.0035,0.9982,0.9982
11.7887,0.9148,0.9808,0.9808
11.8375,0.8262,1.0020,1.0020
11.8833,0.7380,1.0103,1.0103
11.9269,0.6501,1.0303,1.0303
11.9689,0.5626,1.0375,1.0375
12.0099,0.4754,1.0507,1.0507
12.0505,0.3887,1.0133,1.0133
12.0914,0.3023,1.0117,1.0117
12.1333,0.2164,1.0019,1.0019
12.1767,0.1309,1.0100,1.0100
12.2224,0.0459,1.0646,1.0646
12.2709,-0.0386,1.0901,1.0901
12.3226,-0.1223,1.1004,1.1004
12.3775,-0.2045,1.1591,1.1591
12.4359,-0.2844,1.1711,1.1711
12.4976,-0.3612,1.2198,1.2198
12.5628,-0.4343,1.2966,1.2966
12.6316,-0.5029,1.3378,1.3378
12.7039,-0.5662,1.1855,1.1855
12.7798,-0.6235,1.0574,1.0574
12.8595,-0.6741,0.9538,0.9538
12.9428,-0.7172,0.8751,0.8751
13.0300,-0.7522,0.9495,0.9495
13.1207,-0.7795,1.1204,1.1204
13.2144,-0.8001,1.2933,1.2933
13.3107,-0.8148,1.2579,1.2579
13.4091,-0.8248,1.2305,1.2305
13.5092,-0.8308,1.2116,1.2116
13.6106,-0.8339,1.1531,1.1531
13.7127,-0.8351,1.1500,1.1500
13.8152,-0.8352,1.1500,1.1500
13.9176,-0.8351,1.1500,1.1500
14.0199,-0.8351,1.1500,1.1500
14.1219,-0.8352,1.1500,1.1500
14.2238,-0.8355,1.1281,1.1281
14.3256,-0.8359,1.1210,1.1210
14.4272,-0.8364,1.1032,1.1032
14.5287,-0.8370,1.1000,1.1000
14.6302,-0.8377,1.0989,1.0989
14.7316,-0.8386,1.0807,1.0807
14.8329,-0.8396,1.0607,1.0607
14.9342,-0.8407,1.0426,1.0426
15.0355,-0.8420,1.0180,1.0180
15.1367,-0.8434,0.9918,0.9918
15.2380,-0.8449,0.9670,0.9670
15.3393,-0.8466,0.9532,0.9532
15.4407,-0.8485,0.9500,0.9500
15.5422,-0.8505,0.9500,0.9500
15.6437,-0.8527,0.9547,0.9547
15.7453,-0.8550,0.9515,0.9515
15.8470,-0.8575,0.9500,0.9500
15.9489,-0.8602,0.9500,0.9500
16.0509,-0.8630,0.9500,0.9500
16.1531,-0.8660,0.9500,0.9500
16.2555,-0.8692,0.9500,0.9500
16.3580,-0.8726,0.9500,0.9500
16.4608,-0.8761,0.9500,0.9500
16.5639,-0.8798,0.9500,0.9500
16.6671,-0.8838,0.9500,0.9500
16.7707,-0.8879,0.9500,0.9500
16.8745,-0.8922,0.9500,0.9500
16.9787,-0.8967,0.9500,0.9500
17.0831,-0.9014,0.9500,0.9500
17.1879,-0.9064,0.9134,0.9134
17.2931,-0.9115,0.9010,0.9010
17.3986,-0.9169,0.9113,0.9113
17.5045,-0.9224,0.9334,0.9334
17.6107,-0.9281,0.9480,0.9480
17.7171,-0.9335,0.9205,0.9205
17.8235,-0.9385,0.9045,0.9045
17.9297,-0.9427,0.9000,0.9000
18.0356,-0.9459,0.9000,0.9000
18.1410,-0.9478,0.9000,0.9000
18.2457,-0.9480,0.9000,0.9000
18.3495,-0.9464,0.9000,0.9000
18.4524,-0.9426,0.9000,0.9000
18.5542,-0.9363,0.9500,0.9500
18.6546,-0.9273,0.9500,0.9500
18.7535,-0.9153,0.9500,0.9500
18.8507,-0.9000,0.9765,0.9765
18.9462,-0.8811,0.9962,0.9962
19.0396,-0.8583,0.9677,0.9677
19.1310,-0.8313,0.9546,0.9546
19.2200,-0.8000,0.9412,0.9412
19.3064,-0.7639,0.9690,0.9690
19.3900,-0.7229,0.9653,0.9653
19.4701,-0.6768,1.0000,1.0000
19.5462,-0.6254,1.0241,1.0241
19.6177,-0.5685,0.9853,0.9853
19.6841,-0.5060,0.9247,0.9247
19.7448,-0.4377,0.8824,0.8824
19.7994,-0.3634,0.8594,0.8594
19.8472,-0.2829,0.8572,0.8572
19.8878,-0.1961,0.8776,0.8776
19.9206,-0.1028,1.0054,1.0054
19.9457,-0.0037,1.0082,1.0082
19.9634,0.1000,1.0213,1.0213
19.9743,0.2070,1.0500,1.0500
19.9788,0.3160,1.0500,1.0500
19.9773,0.4259,1.0500,1.0500
19.9702,0.5355,1.0500,1.0500
19.9579,0.6434,1.0500,1.0500
19.9409,0.7484,1.0027,1.0027
19.9196,0.8494,1.0155,1.0155
19.8939,0.9457,1.0388,1.0388
19.8634,1.0369,1.0450,1.0450
19.8278,1.1226,1.0085,1.0085
19.7867,1.2025,0.8638,0.8638
19.7397,1.2762,0.7564,0.7564
19.6865,1.3433,0.6829,0.6829
19.6267,1.4034,0.6410,0.6410
19.5600,1.4562,0.6297,0.6297
19.4860,1.5013,0.6684,0.6684
19.4047,1.5386,0.8381,0.8381
19.3169,1.5689,0.8435,0.8435
19.2235,1.5931,0.8000,0.8000
19.1255,1.6119,0.8000,0.8000
19.0237,1.6262,0.8048,0.8048
18.9192,1.6368,0.7740,0.7740
18.8127,1.6446,0.7551,0.7551
18.7053,1.6504,0.7999,0.7999
18.5978,1.6550,0.8000,0.8000
18.4910,1.6592,0.8000,0.8000
18.3850,1.6630,0.7970,0.7970
18.2796,1.6666,0.7714,0.7714
18.1749,1.6699,0.7540,0.7540
18.0706,1.6730,0.8000,0.8000
17.9668,1.6759,0.8000,0.8000
17.8633,1.6786,0.8000,0.8000
