x_m,y_m,v_mps,dr_m,dl_m
-1.5875773,8.9665774,6.2320581,0.5404227,0.8155773000000001
-1.6218781,8.4685041,6.3555692,0.5321312339789714,0.8976687660210285
-1.6635203,7.9708638,6.3529751,0.5364796999999999,0.8635203
-1.7102936,7.4736463,6.1063493,0.5028954125473983,0.7971045874526017
-1.760791,6.9756073,5.8504874,0.489209,0.9107909999999999
-1.8131642,6.480489,5.5895311,0.47477740644260547,0.9252225935573944
-1.8665456,5.9813495,5.3096013,0.48345440000000006,1.0165456
-1.9181888,5.4840009,5.0205275,0.4707490625210242,0.9816509374789757
-1.9647269,4.9895188,4.7196776,0.4414963445815086,0.9717036554184915
-2.0018242,4.4870747,4.4022651,0.4678998554744606,1.0133001445255394
-2.0204481,3.9877184,4.0815992,0.47955190000000014,0.9204480999999998
-2.0105601,3.4926296,3.7625483,0.4894398999999998,0.9105601000000001
-1.9601113,2.9957493,3.4721475,0.6398887000000002,0.8601112999999998
-1.8599178,2.5058172,3.2636832,0.7400822,0.7599178
-1.7090744,2.034734,3.0546103,0.9205150375515436,0.6072849624484564
-1.5007476,1.5862344,2.7645253,1.2326690594043677,0.5355309405956323
-1.2137261,1.1793746,2.7122446,1.4287100984599006,0.47128990154009937
-0.8452976,0.8424404,2.892263,1.1224404,0.6775596
-0.4168395,0.5816732,3.1500776,0.8656926384678787,0.8591073615321214
0.038631,0.3813875,3.4276658,0.7114338380807987,1.0885661619192013
0.5100871,0.2218404,3.6811305,0.6364026596087805,1.1635973403912194
0.9944927,0.0935035,3.9256419,0.5691399130022925,1.2308600869977075
1.484296,-0.0077682,4.168102,0.4735318,1.3290682
1.9761363,-0.0882708,4.4057661,0.5240888610580917,1.3405111389419084
2.47277,-0.1532103,4.6392739,0.573002893772767,1.2583971062272328
2.9694441,-0.2053475,4.8646753,0.5671731438298052,1.232826856170195
3.467938,-0.2474855,5.0822555,0.5325145,1.2674855
3.9658531,-0.2816595,5.2953743,0.5483405,1.2516595000000001
4.4648939,-0.3097193,5.5007351,0.5215807,1.2810193
4.9637079,-0.3323663,5.701189,0.5438337,1.3485663
5.4616808,-0.3501736,5.897745,0.5006264,1.3409735999999999
5.961475,-0.3637626,6.0866782,0.4662374,1.3337626
6.4606065,-0.3736019,6.2715435,0.45639810000000003,1.3436019
6.9590376,-0.3801921,6.4526302,0.44980790000000004,1.3501921000000001
7.4588675,-0.3839644,6.6268022,0.4512356,1.3591644
