# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.8200,0.4400,0.5831,0.5831
-1.8200,0.4900,0.5831,0.5831
-1.8700,0.5400,0.5701,0.5701
-1.8700,0.5900,0.5831,0.5831
-1.9200,0.6400,0.5590,0.5590
-1.9200,0.6900,0.5701,0.5701
-1.9200,0.7400,0.5701,0.5701
-1.9700,0.7900,0.5590,0.5590
-1.9700,0.8400,0.5701,0.5701
-2.0200,0.8900,0.5385,0.5385
-2.0200,0.9400,0.5590,0.5590
-2.0200,0.9900,0.5590,0.5590
-2.0700,1.0400,0.5590,0.5590
-2.0700,1.0900,0.5701,0.5701
-2.1200,1.1400,0.5590,0.5590
-2.1200,1.1900,0.5831,0.5831
-2.1700,1.2400,0.5590,0.5590
-2.1700,1.2900,0.5831,0.5831
-2.2200,1.3400,0.5701,0.5701
-2.2200,1.3900,0.5831,0.5831
-2.2700,1.4400,0.5590,0.5590
-2.2700,1.4900,0.5831,0.5831
-2.2700,1.5400,0.5701,0.5701
-2.3200,1.5900,0.5701,0.5701
-2.3200,1.6400,0.5852,0.5852
-2.3200,1.6900,0.5701,0.5701
-2.3700,1.7400,0.5831,0.5831
-2.3700,1.7900,0.6021,0.6021
-2.3700,1.8400,0.6000,0.6000
-2.3700,1.8900,0.5852,0.5852
-2.4200,1.9400,0.6042,0.6042
-2.4200,1.9900,0.6083,0.6083
-2.4200,2.0400,0.6021,0.6021
-2.4200,2.0900,0.6000,0.6000
-2.4700,2.1400,0.6325,0.6325
-2.4700,2.1900,0.6185,0.6185
-2.5200,2.2400,0.6185,0.6185
-2.5200,2.2900,0.6325,0.6325
-2.5200,2.3400,0.6500,0.6500
-2.5200,2.3900,0.6500,0.6500
-2.5200,2.4400,0.6325,0.6325
-2.5200,2.4900,0.6185,0.6185
-2.5700,2.5400,0.6576,0.6576
-2.5700,2.5900,0.6519,0.6519
-2.5700,2.6400,0.6500,0.6500
-2.6200,2.6900,0.6964,0.6964
-2.6200,2.7400,0.6964,0.6964
-2.6200,2.7900,0.6801,0.6801
-2.6200,2.8400,0.6671,0.6671
-2.6200,2.8900,0.6576,0.6576
-2.6700,2.9400,0.7018,0.7018
