# x_m,y_m,width_inner,width_outer
11.2308,-90.4434,1.0510,1.0511
11.1170,-90.4461,1.0512,1.0512
11.0032,-90.4487,1.0514,1.0514
10.8894,-90.4514,1.0516,1.0516
10.7756,-90.4540,1.0517,1.0517
10.6618,-90.4566,1.0519,1.0518
10.5480,-90.4592,1.0520,1.0520
10.4343,-90.4618,1.0521,1.0520
10.3205,-90.4644,1.0522,1.0521
10.2067,-90.4669,1.0523,1.0521
10.0929,-90.4695,1.0523,1.0522
9.9791,-90.4720,1.0523,1.0521
9.8653,-90.4745,1.0523,1.0521
9.7515,-90.4769,1.0523,1.0521
9.6377,-90.4793,1.0523,1.0520
9.5239,-90.4818,1.0523,1.0520
9.4101,-90.4842,1.0522,1.0519
9.2963,-90.4865,1.0522,1.0519
9.1825,-90.4889,1.0522,1.0519
9.0688,-90.4913,1.0522,1.0519
8.9550,-90.4936,1.0522,1.0519
8.8412,-90.4960,1.0523,1.0520
8.7274,-90.4983,1.0524,1.0520
8.6136,-90.5007,1.0525,1.0521
8.4998,-90.5031,1.0526,1.0523
8.3860,-90.5055,1.0528,1.0524
8.2722,-90.5079,1.0529,1.0526
8.1584,-90.5103,1.0529,1.0527
8.0446,-90.5128,1.0529,1.0529
7.9308,-90.5153,1.0529,1.0530
7.8170,-90.5178,1.0529,1.0532
7.7032,-90.5203,1.0528,1.0534
7.5895,-90.5229,1.0528,1.0533
7.4757,-90.5255,1.0527,1.0533
7.3619,-90.5280,1.0526,1.0532
7.2481,-90.5306,1.0525,1.0530
7.1343,-90.5333,1.0524,1.0529
7.0205,-90.5359,1.0522,1.0528
6.9067,-90.5385,1.0521,1.0526
6.7929,-90.5411,1.0520,1.0524
6.6791,-90.5437,1.0518,1.0523
6.5654,-90.5464,1.0517,1.0521
6.4516,-90.5490,1.0516,1.0520
6.3378,-90.5517,1.0514,1.0518
6.2240,-90.5543,1.0514,1.0517
6.1102,-90.5570,1.0513,1.0516
5.9964,-90.5597,1.0512,1.0515
5.8826,-90.5624,1.0512,1.0514
5.7689,-90.5651,1.0511,1.0513
5.6551,-90.5678,1.0511,1.0513
5.5413,-90.5706,1.0511,1.0513
5.4275,-90.5734,1.0511,1.0513
5.3137,-90.5762,1.0511,1.0512
5.1999,-90.5790,1.0512,1.0513
5.0861,-90.5818,1.0512,1.0513
4.9724,-90.5847,1.0512,1.0513
4.8586,-90.5875,1.0513,1.0513
4.7448,-90.5904,1.0513,1.0513
4.6310,-90.5932,1.0513,1.0513
4.5172,-90.5961,1.0514,1.0513
4.4035,-90.5990,1.0514,1.0514
4.2897,-90.6018,1.0515,1.0514
4.1759,-90.6047,1.0516,1.0514
4.0621,-90.6075,1.0516,1.0515
3.9483,-90.6104,1.0517,1.0515
3.8345,-90.6132,1.0518,1.0516
3.7208,-90.6161,1.0519,1.0517
3.6070,-90.6189,1.0520,1.0517
3.4932,-90.6217,1.0521,1.0518
3.3794,-90.6246,1.0521,1.0519
3.2656,-90.6274,1.0522,1.0519
3.1518,-90.6303,1.0523,1.0520
3.0381,-90.6331,1.0524,1.0521
2.9243,-90.6359,1.0525,1.0521
2.8105,-90.6387,1.0526,1.0522
2.6967,-90.6416,1.0526,1.0522
2.5829,-90.6444,1.0527,1.0522
2.4691,-90.6472,1.0528,1.0523
2.3554,-90.6500,1.0528,1.0523
2.2416,-90.6528,1.0529,1.0523
2.1278,-90.6556,1.0530,1.0524
2.0140,-90.6584,1.0528,1.0524
1.9002,-90.6612,1.0527,1.0525
1.7864,-90.6639,1.0525,1.0526
1.6727,-90.6667,1.0524,1.0526
1.5589,-90.6695,1.0523,1.0527
1.4451,-90.6722,1.0522,1.0528
1.3313,-90.6750,1.0521,1.0528
1.2175,-90.6778,1.0520,1.0527
1.1037,-90.6806,1.0520,1.0526
0.9900,-90.6834,1.0519,1.0525
0.8762,-90.6862,1.0519,1.0525
0.7624,-90.6890,1.0518,1.0524
0.6486,-90.6918,1.0518,1.0523
0.5348,-90.6946,1.0517,1.0522
0.4210,-90.6974,1.0517,1.0522
0.3072,-90.7002,1.0516,1.0521
0.1935,-90.7030,1.0516,1.0520
0.0797,-90.7058,1.0516,1.0520
-0.0341,-90.7086,1.0515,1.0519
-0.1479,-90.7114,1.0515,1.0518
-0.2617,-90.7142,1.0515,1.0518
-0.3755,-90.7170,1.0515,1.0517
-0.4892,-90.7198,1.0515,1.0517
-0.6030,-90.7226,1.0515,1.0517
-0.7168,-90.7253,1.0515,1.0517
-0.8306,-90.7281,1.0515,1.0517
-0.9444,-90.7308,1.0516,1.0517
-1.0582,-90.7335,1.0516,1.0517
-1.1719,-90.7363,1.0517,1.0517
-1.2857,-90.7390,1.0517,1.0517
-1.3995,-90.7417,1.0518,1.0517
-1.5133,-90.7444,1.0518,1.0517
-1.6271,-90.7471,1.0519,1.0518
-1.7409,-90.7498,1.0519,1.0518
-1.8547,-90.7525,1.0519,1.0518
-1.9685,-90.7551,1.0520,1.0517
