# x_m,y_m,width_inner,width_outer
-37.8189,-99.9993,1.0137,1.0145
-37.9312,-99.9805,1.0141,1.0137
-38.0431,-99.9596,1.0149,1.0136
-38.1545,-99.9366,1.0138,1.0144
-38.2655,-99.9114,1.0135,1.0158
-38.3759,-99.8838,1.0136,1.0146
-38.4857,-99.8537,1.0142,1.0139
-38.5949,-99.8215,1.0154,1.0140
-38.7034,-99.7871,1.0145,1.0148
-38.8112,-99.7506,1.0143,1.0163
-38.9182,-99.7120,1.0148,1.0155
-39.0244,-99.6710,1.0152,1.0151
-39.1297,-99.6277,1.0165,1.0152
-39.2341,-99.5824,1.0159,1.0160
-39.3376,-99.5350,1.0158,1.0176
-39.4401,-99.4857,1.0163,1.0168
-39.5417,-99.4344,1.0170,1.0166
-39.6422,-99.3809,1.0178,1.0169
-39.7415,-99.3253,1.0179,1.0176
-39.8397,-99.2678,1.0177,1.0191
-39.9369,-99.2086,1.0182,1.0188
-40.0330,-99.1477,1.0193,1.0186
-40.1280,-99.0850,1.0201,1.0190
-40.2217,-99.0203,1.0203,1.0198
-40.3142,-98.9539,1.0204,1.0211
-40.4055,-98.8860,1.0208,1.0220
-40.4956,-98.8166,1.0219,1.0218
-40.5847,-98.7457,1.0231,1.0222
-40.6725,-98.6733,1.0240,1.0232
-40.7589,-98.5992,1.0246,1.0244
-40.8442,-98.5238,1.0249,1.0260
-40.9283,-98.4471,1.0258,1.0271
-41.0112,-98.3691,1.0271,1.0273
-41.0929,-98.2899,1.0284,1.0280
-41.1735,-98.2096,1.0299,1.0292
-41.2527,-98.1278,1.0309,1.0305
-41.3307,-98.0450,1.0314,1.0322
-41.4076,-97.9610,1.0324,1.0342
-41.4833,-97.8761,1.0337,1.0347
-41.5579,-97.7901,1.0352,1.0353
-41.6314,-97.7032,1.0366,1.0363
-41.7038,-97.6153,1.0382,1.0375
-41.7749,-97.5265,1.0390,1.0387
-41.8449,-97.4368,1.0396,1.0402
-41.9139,-97.3462,1.0405,1.0418
-41.9819,-97.2550,1.0415,1.0433
-42.0489,-97.1630,1.0427,1.0436
-42.1150,-97.0703,1.0439,1.0440
-42.1801,-96.9769,1.0451,1.0446
-42.2444,-96.8830,1.0463,1.0452
-42.3078,-96.7885,1.0465,1.0459
-42.3704,-96.6934,1.0468,1.0466
-42.4323,-96.5979,1.0471,1.0472
-42.4934,-96.5019,1.0474,1.0479
-42.5540,-96.4055,1.0478,1.0485
-42.6140,-96.3088,1.0481,1.0491
-42.6734,-96.2118,1.0484,1.0497
-42.7325,-96.1144,1.0488,1.0502
-42.7911,-96.0169,1.0491,1.0501
-42.8493,-95.9191,1.0494,1.0499
-42.9073,-95.8211,1.0496,1.0497
-42.9650,-95.7230,1.0498,1.0496
-43.0225,-95.6248,1.0500,1.0494
-43.0798,-95.5264,1.0501,1.0492
-43.1369,-95.4280,1.0501,1.0490
-43.1940,-95.3296,1.0498,1.0488
-43.2510,-95.2311,1.0496,1.0486
-43.3080,-95.1325,1.0493,1.0484
-43.3650,-95.0340,1.0491,1.0483
-43.4219,-94.9354,1.0489,1.0481
-43.4789,-94.8369,1.0487,1.0479
-43.5359,-94.7384,1.0485,1.0478
-43.5929,-94.6399,1.0483,1.0476
-43.6500,-94.5414,1.0481,1.0475
-43.7072,-94.4430,1.0480,1.0474
-43.7643,-94.3446,1.0479,1.0473
-43.8216,-94.2462,1.0478,1.0473
-43.8789,-94.1478,1.0477,1.0472
-43.9362,-94.0495,1.0476,1.0472
-43.9936,-93.9512,1.0475,1.0472
-44.0510,-93.8529,1.0475,1.0472
-44.1084,-93.7547,1.0474,1.0472
-44.1658,-93.6564,1.0474,1.0472
-44.2233,-93.5582,1.0474,1.0472
-44.2808,-93.4599,1.0473,1.0473
-44.3382,-93.3617,1.0473,1.0473
-44.3957,-93.2634,1.0473,1.0473
-44.4531,-93.1651,1.0472,1.0473
-44.5105,-93.0668,1.0472,1.0474
-44.5678,-92.9685,1.0471,1.0474
-44.6252,-92.8702,1.0471,1.0475
-44.6824,-92.7718,1.0471,1.0475
-44.7397,-92.6735,1.0471,1.0476
-44.7968,-92.5750,1.0471,1.0477
-44.8539,-92.4766,1.0471,1.0478
-44.9109,-92.3781,1.0471,1.0479
-44.9679,-92.2795,1.0472,1.0480
-45.0247,-92.1809,1.0472,1.0482
-45.0815,-92.0823,1.0473,1.0484
-45.1382,-91.9836,1.0474,1.0486
-45.1947,-91.8848,1.0476,1.0488
-45.2512,-91.7860,1.0477,1.0488
-45.3075,-91.6871,1.0479,1.0487
-45.3638,-91.5881,1.0481,1.0486
-45.4199,-91.4891,1.0484,1.0486
-45.4759,-91.3900,1.0486,1.0486
-45.5318,-91.2909,1.0489,1.0486
-45.5875,-91.1916,1.0491,1.0486
-45.6432,-91.0923,1.0494,1.0486
-45.6987,-90.9930,1.0497,1.0486
-45.7540,-90.8935,1.0497,1.0486
-45.8093,-90.7940,1.0496,1.0487
-45.8645,-90.6945,1.0496,1.0487
-45.9195,-90.5948,1.0495,1.0488
-45.9745,-90.4952,1.0495,1.0488
-46.0293,-90.3954,1.0494,1.0488
-46.0841,-90.2957,1.0494,1.0489
-46.1388,-90.1959,1.0493,1.0489
-46.1934,-90.0960,1.0493,1.0489
-46.2480,-89.9961,1.0492,1.0489
-46.3025,-89.8962,1.0491,1.0489
-46.3570,-89.7963,1.0491,1.0489
-46.4114,-89.6963,1.0490,1.0489
-46.4658,-89.5963,1.0490,1.0489
-46.5202,-89.4964,1.0489,1.0489
-46.5746,-89.3964,1.0488,1.0489
-46.6289,-89.2963,1.0487,1.0489
-46.6832,-89.1963,1.0486,1.0488
-46.7375,-89.0963,1.0485,1.0488
-46.7918,-88.9962,1.0484,1.0488
-46.8460,-88.8962,1.0483,1.0487
-46.9001,-88.7960,1.0482,1.0487
-46.9542,-88.6959,1.0481,1.0486
-47.0081,-88.5957,1.0479,1.0485
-47.0620,-88.4954,1.0478,1.0484
-47.1156,-88.3950,1.0476,1.0483
-47.1691,-88.2945,1.0474,1.0483
-47.2222,-88.1939,1.0472,1.0482
-47.2751,-88.0931,1.0470,1.0481
-47.3277,-87.9921,1.0468,1.0474
-47.3799,-87.8910,1.0466,1.0466
-47.4315,-87.7896,1.0461,1.0458
-47.4827,-87.6879,1.0452,1.0450
-47.5333,-87.5860,1.0442,1.0442
-47.5833,-87.4837,1.0434,1.0433
-47.6325,-87.3811,1.0425,1.0425
-47.6810,-87.2781,1.0416,1.0417
-47.7286,-87.1747,1.0407,1.0409
-47.7754,-87.0710,1.0400,1.0403
-47.8212,-86.9668,1.0394,1.0398
-47.8659,-86.8621,1.0389,1.0395
-47.9096,-86.7570,1.0385,1.0388
-47.9521,-86.6514,1.0368,1.0372
-47.9935,-86.5454,1.0354,1.0358
-48.0335,-86.4388,1.0342,1.0346
-48.0720,-86.3318,1.0334,1.0336
-48.1092,-86.2242,1.0326,1.0328
-48.1449,-86.1161,1.0320,1.0323
-48.1791,-86.0076,1.0318,1.0323
-48.2118,-85.8985,1.0307,1.0308
-48.2430,-85.7891,1.0292,1.0293
-48.2726,-85.6792,1.0280,1.0283
-48.3005,-85.5688,1.0274,1.0277
-48.3265,-85.4580,1.0270,1.0273
-48.3507,-85.3468,1.0269,1.0273
-48.3733,-85.2353,1.0269,1.0269
-48.3941,-85.1234,1.0255,1.0255
-48.4132,-85.0112,1.0246,1.0246
-48.4306,-84.8987,1.0241,1.0243
-48.4460,-84.7859,1.0240,1.0243
-48.4593,-84.6729,1.0241,1.0247
-48.4708,-84.5597,1.0246,1.0245
-48.4806,-84.4463,1.0234,1.0233
-48.4885,-84.3327,1.0227,1.0227
-48.4945,-84.2191,1.0225,1.0226
-48.4985,-84.1053,1.0225,1.0229
-48.5004,-83.9915,1.0229,1.0234
-48.5003,-83.8777,1.0231,1.0231
-48.4984,-83.7639,1.0221,1.0221
-48.4945,-83.6502,1.0216,1.0217
-48.4887,-83.5365,1.0217,1.0218
-48.4806,-83.4230,1.0217,1.0221
-48.4703,-83.3096,1.0224,1.0228
-48.4581,-83.1965,1.0215,1.0218
-48.4438,-83.0836,1.0208,1.0209
-48.4275,-82.9709,1.0206,1.0206
-48.4091,-82.8586,1.0205,1.0209
-48.3881,-82.7467,1.0210,1.0213
-48.3650,-82.6353,1.0205,1.0211
-48.3399,-82.5243,1.0195,1.0198
-48.3126,-82.4138,1.0192,1.0191
-48.2832,-82.3038,1.0195,1.0192
-48.2516,-82.1945,1.0194,1.0199
-48.2173,-82.0859,1.0189,1.0199
-48.1810,-81.9781,1.0180,1.0184
-48.1425,-81.8710,1.0176,1.0176
-48.1020,-81.7646,1.0180,1.0176
-48.0593,-81.6591,1.0180,1.0184
-48.0144,-81.5546,1.0171,1.0187
-47.9670,-81.4511,1.0168,1.0172
-47.9176,-81.3485,1.0166,1.0165
-47.8662,-81.2470,1.0171,1.0166
-47.8128,-81.1465,1.0174,1.0176
-47.7575,-81.0470,1.0164,1.0180
-47.6999,-80.9489,1.0165,1.0170
-47.6402,-80.8520,1.0165,1.0165
-47.5786,-80.7562,1.0172,1.0168
-47.5153,-80.6617,1.0179,1.0178
-47.4501,-80.5683,1.0172,1.0186
-47.3832,-80.4763,1.0173,1.0180
-47.3141,-80.3858,1.0175,1.0176
-47.2434,-80.2967,1.0184,1.0180
-47.1710,-80.2089,1.0197,1.0191
-47.0970,-80.1224,1.0191,1.0204
-47.0214,-80.0373,1.0192,1.0199
-46.9440,-79.9538,1.0194,1.0197
-46.8650,-79.8720,1.0203,1.0200
-46.7844,-79.7915,1.0218,1.0209
-46.7024,-79.7126,1.0213,1.0224
-46.6190,-79.6352,1.0213,1.0222
-46.5342,-79.5592,1.0215,1.0220
-46.4477,-79.4853,1.0221,1.0219
-46.3599,-79.4129,1.0233,1.0224
-46.2707,-79.3422,1.0232,1.0235
-46.1803,-79.2731,1.0229,1.0240
-46.0886,-79.2057,1.0231,1.0234
-45.9956,-79.1400,1.0232,1.0232
-45.9012,-79.0765,1.0241,1.0232
-45.8056,-79.0146,1.0241,1.0237
-45.7089,-78.9546,1.0234,1.0249
-45.6111,-78.8964,1.0233,1.0238
-45.5123,-78.8400,1.0237,1.0232
-45.4124,-78.7855,1.0237,1.0233
-45.3112,-78.7333,1.0238,1.0234
-45.2091,-78.6830,1.0231,1.0242
-45.1061,-78.6346,1.0227,1.0237
-45.0023,-78.5881,1.0229,1.0227
-44.8975,-78.5435,1.0235,1.0225
-44.7920,-78.5009,1.0229,1.0228
-44.6856,-78.4605,1.0226,1.0235
-44.5784,-78.4222,1.0223,1.0238
-44.4705,-78.3859,1.0224,1.0227
-44.3621,-78.3515,1.0231,1.0223
-44.2530,-78.3190,1.0235,1.0226
-44.1433,-78.2884,1.0229,1.0236
-44.0331,-78.2599,1.0231,1.0250
-43.9224,-78.2336,1.0232,1.0243
-43.8113,-78.2092,1.0239,1.0239
-43.6997,-78.1866,1.0252,1.0242
-43.5878,-78.1658,1.0256,1.0251
-43.4756,-78.1468,1.0256,1.0266
-43.3631,-78.1297,1.0261,1.0281
-43.2502,-78.1147,1.0267,1.0278
-43.1372,-78.1013,1.0278,1.0279
-43.0240,-78.0897,1.0294,1.0286
-42.9106,-78.0797,1.0306,1.0298
-42.7971,-78.0714,1.0309,1.0314
-42.6835,-78.0647,1.0316,1.0334
-42.5698,-78.0597,1.0322,1.0339
-42.4560,-78.0563,1.0333,1.0342
-42.3422,-78.0544,1.0348,1.0347
-42.2284,-78.0540,1.0365,1.0356
-42.1146,-78.0549,1.0375,1.0368
-42.0008,-78.0572,1.0379,1.0381
-41.8870,-78.0609,1.0385,1.0396
-41.7733,-78.0658,1.0391,1.0413
-41.6597,-78.0721,1.0399,1.0414
-41.5461,-78.0796,1.0408,1.0416
-41.4326,-78.0883,1.0419,1.0419
-41.3192,-78.0980,1.0431,1.0423
-41.2059,-78.1087,1.0441,1.0429
-41.0927,-78.1204,1.0441,1.0435
-40.9796,-78.1331,1.0442,1.0441
-40.8666,-78.1466,1.0444,1.0448
-40.7537,-78.1610,1.0446,1.0455
-40.6409,-78.1761,1.0449,1.0462
-40.5282,-78.1920,1.0451,1.0469
-40.4156,-78.2086,1.0454,1.0468
-40.3031,-78.2259,1.0457,1.0466
-40.1906,-78.2437,1.0461,1.0464
-40.0783,-78.2620,1.0465,1.0463
-39.9661,-78.2809,1.0468,1.0462
-39.8539,-78.3002,1.0472,1.0461
-39.7418,-78.3199,1.0475,1.0461
-39.6298,-78.3400,1.0472,1.0461
-39.5178,-78.3604,1.0470,1.0461
-39.4059,-78.3811,1.0468,1.0461
-39.2940,-78.4021,1.0467,1.0461
-39.1822,-78.4234,1.0465,1.0462
-39.0704,-78.4449,1.0464,1.0463
-38.9587,-78.4665,1.0464,1.0463
-38.8470,-78.4884,1.0463,1.0464
-38.7353,-78.5104,1.0463,1.0465
-38.6237,-78.5325,1.0462,1.0466
-38.5120,-78.5547,1.0462,1.0468
-38.4004,-78.5770,1.0463,1.0469
-38.2888,-78.5994,1.0463,1.0471
-38.1773,-78.6219,1.0464,1.0473
-38.0657,-78.6444,1.0464,1.0474
-37.9541,-78.6670,1.0465,1.0476
-37.8426,-78.6896,1.0466,1.0478
-37.7310,-78.7122,1.0467,1.0480
-37.6195,-78.7349,1.0468,1.0483
-37.5080,-78.7576,1.0470,1.0485
-37.3964,-78.7803,1.0471,1.0484
-37.2849,-78.8031,1.0472,1.0484
-37.1734,-78.8258,1.0473,1.0484
-37.0619,-78.8486,1.0474,1.0483
-36.9504,-78.8713,1.0475,1.0483
-36.8389,-78.8941,1.0476,1.0482
-36.7273,-78.9169,1.0477,1.0481
-36.6158,-78.9397,1.0478,1.0481
-36.5043,-78.9625,1.0478,1.0480
-36.3928,-78.9852,1.0479,1.0479
-36.2813,-79.0080,1.0479,1.0478
-36.1697,-79.0307,1.0480,1.0477
-36.0582,-79.0535,1.0480,1.0476
-35.9467,-79.0761,1.0481,1.0476
-35.8351,-79.0987,1.0481,1.0475
-35.7236,-79.1213,1.0481,1.0474
-35.6120,-79.1438,1.0481,1.0473
-35.5004,-79.1662,1.0481,1.0472
-35.3888,-79.1885,1.0482,1.0472
-35.2772,-79.2106,1.0482,1.0471
-35.1655,-79.2327,1.0482,1.0471
-35.0538,-79.2545,1.0482,1.0470
-34.9421,-79.2762,1.0482,1.0470
-34.8303,-79.2977,1.0481,1.0469
-34.7185,-79.3190,1.0481,1.0469
-34.6066,-79.3401,1.0480,1.0468
-34.4947,-79.3608,1.0480,1.0468
-34.3828,-79.3814,1.0479,1.0467
-34.2708,-79.4016,1.0478,1.0467
-34.1587,-79.4215,1.0477,1.0467
-34.0466,-79.4411,1.0476,1.0466
-33.9344,-79.4603,1.0475,1.0466
-33.8221,-79.4792,1.0473,1.0465
-33.7098,-79.4976,1.0472,1.0465
-33.5975,-79.5158,1.0470,1.0464
-33.4850,-79.5335,1.0469,1.0463
-33.3725,-79.5508,1.0467,1.0463
-33.2600,-79.5678,1.0465,1.0462
-33.1474,-79.5843,1.0463,1.0461
-33.0347,-79.6005,1.0462,1.0461
-32.9220,-79.6163,1.0460,1.0460
-32.8092,-79.6317,1.0458,1.0459
-32.6964,-79.6468,1.0457,1.0459
-32.5836,-79.6616,1.0456,1.0458
-32.4707,-79.6761,1.0455,1.0457
-32.3578,-79.6903,1.0454,1.0456
-32.2448,-79.7043,1.0453,1.0456
-32.1318,-79.7180,1.0452,1.0455
-32.0188,-79.7316,1.0452,1.0454
-31.9058,-79.7450,1.0452,1.0453
-31.7927,-79.7583,1.0452,1.0453
-31.6797,-79.7715,1.0452,1.0452
-31.5666,-79.7846,1.0452,1.0451
-31.4536,-79.7978,1.0453,1.0451
-31.3405,-79.8109,1.0454,1.0450
-31.2275,-79.8240,1.0455,1.0450
-31.1144,-79.8372,1.0457,1.0450
-31.0014,-79.8504,1.0459,1.0450
-30.8883,-79.8637,1.0461,1.0450
-30.7753,-79.8770,1.0463,1.0450
-30.6623,-79.8905,1.0464,1.0450
-30.5493,-79.9040,1.0463,1.0451
-30.4363,-79.9177,1.0462,1.0451
-30.3233,-79.9314,1.0462,1.0452
-30.2103,-79.9452,1.0461,1.0452
-30.0973,-79.9590,1.0461,1.0453
-29.9843,-79.9729,1.0460,1.0454
-29.8714,-79.9868,1.0460,1.0454
-29.7584,-80.0006,1.0459,1.0454
-29.6454,-80.0144,1.0459,1.0454
-29.5324,-80.0280,1.0458,1.0454
-29.4194,-80.0415,1.0457,1.0453
-29.3064,-80.0548,1.0456,1.0452
-29.1933,-80.0678,1.0455,1.0450
-29.0802,-80.0805,1.0453,1.0449
-28.9670,-80.0929,1.0452,1.0447
-28.8538,-80.1047,1.0450,1.0444
-28.7406,-80.1161,1.0449,1.0442
-28.6273,-80.1269,1.0447,1.0439
-28.5139,-80.1371,1.0446,1.0437
-28.4005,-80.1466,1.0445,1.0435
-28.2870,-80.1553,1.0444,1.0432
-28.1735,-80.1633,1.0441,1.0431
-28.0599,-80.1704,1.0435,1.0429
-27.9463,-80.1767,1.0429,1.0428
-27.8326,-80.1820,1.0425,1.0428
-27.7188,-80.1865,1.0421,1.0429
-27.6051,-80.1899,1.0418,1.0430
-27.4913,-80.1924,1.0416,1.0430
-27.3775,-80.1939,1.0415,1.0426
-27.2637,-80.1944,1.0415,1.0423
-27.1498,-80.1940,1.0416,1.0422
-27.0360,-80.1925,1.0418,1.0421
-26.9222,-80.1901,1.0421,1.0421
-26.8085,-80.1868,1.0425,1.0422
-26.6947,-80.1825,1.0430,1.0424
-26.5810,-80.1774,1.0436,1.0426
-26.4674,-80.1713,1.0442,1.0429
-26.3538,-80.1644,1.0449,1.0433
-26.2402,-80.1568,1.0450,1.0436
-26.1267,-80.1483,1.0451,1.0440
-26.0133,-80.1391,1.0453,1.0445
-25.8999,-80.1293,1.0455,1.0449
-25.7865,-80.1187,1.0457,1.0453
-25.6733,-80.1075,1.0459,1.0457
-25.5601,-80.0957,1.0461,1.0461
-25.4469,-80.0833,1.0463,1.0465
-25.3339,-80.0703,1.0464,1.0469
-25.2208,-80.0568,1.0466,1.0472
-25.1079,-80.0427,1.0467,1.0475
-24.9950,-80.0282,1.0468,1.0478
-24.8822,-80.0132,1.0469,1.0481
-24.7694,-79.9976,1.0470,1.0483
-24.6568,-79.9816,1.0470,1.0484
-24.5441,-79.9651,1.0470,1.0483
-24.4316,-79.9480,1.0469,1.0481
-24.3191,-79.9305,1.0469,1.0479
-24.2068,-79.9124,1.0468,1.0477
-24.0945,-79.8939,1.0467,1.0474
-23.9823,-79.8747,1.0465,1.0471
-23.8702,-79.8550,1.0463,1.0468
-23.7582,-79.8347,1.0461,1.0465
-23.6463,-79.8137,1.0459,1.0461
-23.5346,-79.7921,1.0457,1.0458
-23.4230,-79.7698,1.0455,1.0454
-23.3115,-79.7468,1.0454,1.0450
-23.2002,-79.7231,1.0452,1.0447
-23.0890,-79.6986,1.0451,1.0444
-22.9781,-79.6732,1.0451,1.0441
-22.8673,-79.6470,1.0452,1.0439
-22.7567,-79.6200,1.0450,1.0437
-22.6464,-79.5921,1.0445,1.0436
-22.5363,-79.5632,1.0441,1.0436
-22.4265,-79.5334,1.0438,1.0437
-22.3169,-79.5027,1.0436,1.0439
-22.2075,-79.4711,1.0435,1.0441
-22.0985,-79.4384,1.0435,1.0445
-21.9898,-79.4048,1.0436,1.0450
-21.8813,-79.3702,1.0439,1.0450
-21.7732,-79.3347,1.0442,1.0450
-21.6654,-79.2982,1.0446,1.0450
-21.5579,-79.2609,1.0450,1.0451
-21.4507,-79.2227,1.0455,1.0453
-21.3438,-79.1835,1.0461,1.0455
-21.2372,-79.1436,1.0467,1.0457
-21.1309,-79.1028,1.0473,1.0459
-21.0250,-79.0612,1.0477,1.0461
-20.9194,-79.0188,1.0477,1.0463
-20.8140,-78.9757,1.0477,1.0466
-20.7090,-78.9317,1.0476,1.0468
-20.6044,-78.8870,1.0475,1.0471
-20.5000,-78.8416,1.0474,1.0473
-20.3960,-78.7955,1.0473,1.0476
-20.2922,-78.7486,1.0473,1.0478
-20.1888,-78.7011,1.0472,1.0480
-20.0857,-78.6528,1.0472,1.0483
-19.9830,-78.6039,1.0472,1.0485
-19.8805,-78.5543,1.0472,1.0487
-19.7784,-78.5040,1.0472,1.0485
-19.6766,-78.4531,1.0472,1.0483
-19.5752,-78.4014,1.0473,1.0481
-19.4741,-78.3491,1.0475,1.0480
-19.3734,-78.2961,1.0477,1.0478
-19.2731,-78.2424,1.0479,1.0477
-19.1731,-78.1879,1.0481,1.0476
-19.0735,-78.1328,1.0483,1.0476
-18.9743,-78.0770,1.0486,1.0476
-18.8755,-78.0205,1.0489,1.0476
-18.7772,-77.9633,1.0491,1.0476
-18.6792,-77.9053,1.0488,1.0476
-18.5817,-77.8466,1.0485,1.0477
-18.4846,-77.7872,1.0483,1.0477
-18.3880,-77.7271,1.0481,1.0478
-18.2918,-77.6662,1.0478,1.0479
-18.1962,-77.6045,1.0476,1.0480
-18.1010,-77.5420,1.0474,1.0481
-18.0064,-77.4787,1.0473,1.0482
-17.9123,-77.4147,1.0471,1.0484
-17.8188,-77.3498,1.0470,1.0482
-17.7258,-77.2842,1.0469,1.0477
-17.6334,-77.2177,1.0469,1.0473
-17.5416,-77.1504,1.0470,1.0469
-17.4505,-77.0823,1.0471,1.0466
-17.3599,-77.0134,1.0472,1.0463
-17.2699,-76.9436,1.0474,1.0461
-17.1806,-76.8731,1.0476,1.0459
-17.0919,-76.8018,1.0470,1.0458
-17.0038,-76.7298,1.0465,1.0457
-16.9163,-76.6569,1.0461,1.0457
-16.8295,-76.5834,1.0458,1.0457
-16.7432,-76.5091,1.0455,1.0458
-16.6576,-76.4340,1.0453,1.0459
-16.5727,-76.3583,1.0452,1.0460
-16.4883,-76.2819,1.0452,1.0463
-16.4045,-76.2049,1.0452,1.0465
-16.3214,-76.1272,1.0452,1.0467
-16.2388,-76.0488,1.0453,1.0465
-16.1568,-75.9699,1.0455,1.0463
-16.0754,-75.8903,1.0458,1.0462
-15.9946,-75.8102,1.0460,1.0461
-15.9143,-75.7295,1.0464,1.0461
-15.8346,-75.6483,1.0468,1.0462
-15.7554,-75.5665,1.0472,1.0463
-15.6768,-75.4842,1.0477,1.0464
-15.5987,-75.4014,1.0478,1.0465
-15.5211,-75.3182,1.0478,1.0467
-15.4440,-75.2344,1.0479,1.0469
-15.3675,-75.1502,1.0480,1.0472
-15.2914,-75.0655,1.0480,1.0474
-15.2158,-74.9804,1.0481,1.0476
-15.1407,-74.8949,1.0482,1.0479
-15.0661,-74.8089,1.0483,1.0481
-14.9919,-74.7226,1.0484,1.0483
-14.9182,-74.6359,1.0485,1.0486
-14.8450,-74.5487,1.0486,1.0488
-14.7722,-74.4612,1.0487,1.0490
-14.6999,-74.3733,1.0487,1.0492
-14.6280,-74.2851,1.0488,1.0494
-14.5566,-74.1965,1.0488,1.0495
-14.4856,-74.1075,1.0489,1.0497
-14.4151,-74.0182,1.0489,1.0499
-14.3450,-73.9285,1.0489,1.0501
-14.2754,-73.8385,1.0490,1.0502
-14.2062,-73.7481,1.0490,1.0504
-14.1375,-73.6573,1.0491,1.0504
-14.0692,-73.5663,1.0491,1.0503
-14.0015,-73.4748,1.0492,1.0501
-13.9342,-73.3830,1.0493,1.0499
-13.8675,-73.2908,1.0494,1.0497
-13.8012,-73.1982,1.0495,1.0495
-13.7356,-73.1053,1.0496,1.0493
-13.6705,-73.0119,1.0497,1.0491
-13.6060,-72.9181,1.0498,1.0489
-13.5421,-72.8239,1.0499,1.0486
-13.4789,-72.7293,1.0500,1.0484
-13.4164,-72.6342,1.0494,1.0481
-13.3546,-72.5386,1.0488,1.0478
-13.2936,-72.4425,1.0481,1.0474
-13.2334,-72.3459,1.0474,1.0470
-13.1741,-72.2487,1.0466,1.0466
-13.1157,-72.1511,1.0458,1.0461
-13.0583,-72.0528,1.0448,1.0456
-13.0019,-71.9539,1.0436,1.0450
-12.9466,-71.8544,1.0425,1.0436
-12.8926,-71.7542,1.0413,1.0417
-12.8400,-71.6533,1.0397,1.0399
-12.7889,-71.5516,1.0381,1.0380
-12.7392,-71.4492,1.0366,1.0360
-12.6913,-71.3459,1.0346,1.0341
-12.6452,-71.2419,1.0311,1.0321
-12.6012,-71.1369,1.0277,1.0295
-12.5597,-71.0309,1.0240,1.0260
-12.5206,-70.9241,1.0207,1.0226
-12.4842,-70.8162,1.0182,1.0194
-12.4513,-70.7073,1.0139,1.0170
-12.4218,-70.5973,1.0087,1.0123
-12.3960,-70.4865,1.0053,1.0082
-12.3750,-70.3746,1.0020,1.0057
-12.3585,-70.2620,0.9968,1.0007
-12.3476,-70.1488,0.9954,0.9970
-12.3422,-70.0351,0.9899,0.9934
-12.3434,-69.9213,0.9895,0.9896
-12.3508,-69.8077,0.9844,0.9867
-12.3660,-69.6950,0.9848,0.9835
-12.3881,-69.5833,0.9806,0.9817
-12.4177,-69.4735,0.9796,0.9791
-12.4552,-69.3660,0.9799,0.9784
-12.4997,-69.2613,0.9766,0.9769
-12.5518,-69.1602,0.9783,0.9763
-12.6108,-69.0629,0.9768,0.9764
-12.6762,-68.9697,0.9764,0.9766
-12.7480,-68.8815,0.9803,0.9781
-12.8254,-68.7981,0.9779,0.9798
-12.9078,-68.7196,0.9818,0.9818
-12.9952,-68.6468,0.9819,0.9849
-13.0865,-68.5788,0.9855,0.9875
-13.1818,-68.5165,0.9874,0.9918
-13.2800,-68.4590,0.9918,0.9942
-13.3812,-68.4070,0.9936,0.9988
-13.4845,-68.3593,0.9999,1.0017
-13.5900,-68.3166,1.0013,1.0054
-13.6970,-68.2780,1.0053,1.0099
-13.8054,-68.2431,1.0109,1.0126
-13.9149,-68.2122,1.0131,1.0159
-14.0253,-68.1844,1.0162,1.0195
-14.1364,-68.1595,1.0198,1.0233
-14.2480,-68.1374,1.0238,1.0255
-14.3601,-68.1178,1.0275,1.0278
-14.4726,-68.1002,1.0298,1.0302
-14.5853,-68.0844,1.0318,1.0325
-14.6982,-68.0703,1.0338,1.0348
-14.8113,-68.0576,1.0358,1.0370
-14.9246,-68.0461,1.0376,1.0391
-15.0379,-68.0357,1.0392,1.0409
-15.1513,-68.0263,1.0406,1.0419
-15.2648,-68.0176,1.0419,1.0429
-15.3783,-68.0096,1.0430,1.0437
-15.4919,-68.0021,1.0439,1.0445
-15.6055,-67.9952,1.0447,1.0452
-15.7191,-67.9886,1.0454,1.0458
-15.8328,-67.9823,1.0460,1.0464
-15.9465,-67.9763,1.0465,1.0468
-16.0601,-67.9705,1.0469,1.0473
-16.1738,-67.9648,1.0472,1.0476
-16.2875,-67.9593,1.0475,1.0479
-16.4012,-67.9539,1.0477,1.0482
-16.5149,-67.9486,1.0479,1.0484
-16.6286,-67.9433,1.0481,1.0486
-16.7423,-67.9381,1.0483,1.0488
-16.8560,-67.9329,1.0484,1.0490
-16.9697,-67.9277,1.0485,1.0492
-17.0834,-67.9225,1.0486,1.0493
-17.1971,-67.9173,1.0487,1.0495
-17.3108,-67.9122,1.0488,1.0496
-17.4245,-67.9070,1.0489,1.0498
-17.5382,-67.9018,1.0490,1.0499
-17.6519,-67.8966,1.0491,1.0501
-17.7656,-67.8914,1.0492,1.0502
-17.8793,-67.8862,1.0493,1.0504
-17.9930,-67.8809,1.0494,1.0505
-18.1067,-67.8757,1.0495,1.0505
-18.2204,-67.8704,1.0496,1.0504
-18.3341,-67.8652,1.0497,1.0504
-18.4477,-67.8599,1.0498,1.0503
-18.5614,-67.8546,1.0499,1.0502
-18.6751,-67.8494,1.0500,1.0501
-18.7888,-67.8441,1.0501,1.0500
-18.9025,-67.8388,1.0501,1.0499
-19.0162,-67.8335,1.0502,1.0498
-19.1299,-67.8282,1.0503,1.0496
-19.2436,-67.8229,1.0504,1.0495
